ppm,val
-3.130061,-0.000547
-3.129572,-0.001158
-3.129083,-0.000778
-3.128594,0.001639
-3.128105,-0.002113
-3.127616,0.000145
-3.127127,0.000959
-3.126638,0.000203
-3.126149,0.002044
-3.125660,0.001090
-3.125171,-0.000721
-3.124682,-0.000129
-3.124193,0.000670
-3.123704,0.000902
-3.123215,-0.000368
-3.122726,0.001164
-3.122237,0.001533
-3.121748,0.001458
-3.121259,-0.001190
-3.120770,0.000325
-3.120281,0.000156
-3.119792,0.000430
-3.119304,0.001340
-3.118815,-0.000665
-3.118326,0.000718
-3.117837,-0.000956
-3.117348,-0.000192
-3.116859,-0.000072
-3.116370,0.000013
-3.115881,0.001057
-3.115392,-0.000999
-3.114903,0.001454
-3.114414,0.001417
-3.113925,-0.000459
-3.113436,0.002066
-3.112947,0.000599
-3.112458,-0.001129
-3.111969,-0.000791
-3.111480,-0.001818
-3.110991,0.001993
-3.110502,-0.001335
-3.110013,0.000673
-3.109524,0.000581
-3.109035,0.000271
-3.108546,0.000054
-3.108057,0.001244
-3.107569,0.000025
-3.107080,-0.001437
-3.106591,-0.000561
-3.106102,-0.001537
-3.105613,0.000852
-3.105124,-0.000233
-3.104635,-0.001076
-3.104146,0.000820
-3.103657,-0.001675
-3.103168,0.000986
-3.102679,0.002075
-3.102190,-0.001395
-3.101701,0.001259
-3.101212,0.001202
-3.100723,0.000073
-3.100234,-0.000166
-3.099745,-0.000840
-3.099256,0.001114
-3.098767,0.001145
-3.098278,0.000346
-3.097789,-0.000051
-3.097300,0.000894
-3.096811,-0.001247
-3.096323,0.001189
-3.095834,-0.000088
-3.095345,0.000832
-3.094856,0.000516
-3.094367,0.001118
-3.093878,0.001462
-3.093389,0.000936
-3.092900,-0.000246
-3.092411,0.002725
-3.091922,0.000762
-3.091433,0.000593
-3.090944,0.000470
-3.090455,-0.002014
-3.089966,0.001414
-3.089477,-0.000241
-3.088988,-0.000615
-3.088499,0.001068
-3.088010,-0.001322
-3.087521,-0.000222
-3.087032,-0.000304
-3.086543,-0.001203
-3.086054,0.000738
