PPM,Amp
-0.481756,1.83254e-07
-0.472599,2.47027e-07
-0.244105,1.68414e-07
-0.235873,5.03631e-07
-0.085903,2.55758e-07
-0.0762664,2.33019e-07
0.0389726,3.08211e-07
0.0491888,2.45869e-07
0.143813,4.85401e-07
0.234965,3.57899e-07
0.244532,2.29256e-07
0.315901,3.97203e-07
0.325711,2.02474e-07
0.388902,3.77111e-07
0.39892,3.51811e-07
0.455456,4.14365e-07
0.46478,2.80464e-07
0.516654,4.09306e-07
0.525878,3.04156e-07
0.573389,4.318e-07
0.582507,2.76817e-07
0.626156,4.55884e-07
0.635182,2.9653e-07
0.67555,4.58484e-07
0.684378,3.35211e-07
0.72197,5.33825e-07
0.731194,3.47853e-07
0.765711,6.44331e-07
0.776423,2.69555e-07
0.807072,6.33498e-07
0.816655,2.68856e-07
0.84625,7.80101e-07
0.883445,6.34556e-07
0.893463,3.1724e-07
0.919648,6.52313e-07
0.929128,3.03031e-07
0.952677,6.46596e-07
0.961547,3.39569e-07
0.985012,7.25404e-07
0.994006,3.2486e-07
1.01596,7.57182e-07
1.02531,2.90863e-07
1.04561,7.73179e-07
1.05528,3.03121e-07
1.07408,8.56524e-07
1.08333,2.72542e-07
1.10146,9.42191e-07
1.12774,1.12314e-06
1.15313,9.62841e-07
1.16231,2.25097e-07
1.17763,9.69031e-07
1.20124,1.10664e-06
1.22405,9.7647e-07
1.24607,1.04637e-06
1.25182,3.39036e-07
1.2674,1.10226e-06
1.27622,2.47828e-07
1.28803,1.19282e-06
1.29657,3.26867e-07
1.30908,1.30228e-06
1.31845,8.47988e-08
1.32727,1.2507e-06
1.34582,1.27753e-06
1.36521,1.34393e-06
1.38295,1.31862e-06
1.39991,1.16257e-06
1.41637,1.35412e-06
1.43244,1.46362e-06
1.44811,1.74709e-06
1.46369,1.51846e-06
1.47817,2.01045e-06
1.49275,1.93483e-06
1.50696,2.0578e-06
1.52072,2.12998e-06
1.53421,2.09556e-06
1.5476,2.12309e-06
1.56069,2.21725e-06
1.57329,2.19583e-06
1.58567,2.23754e-06
1.59741,1.9601e-06
1.60929,2.58691e-06
1.62137,1.7604e-06
1.6325,2.41665e-06
1.6442,1.48474e-06
1.65511,1.71112e-06
1.66662,1.58471e-06
1.67257,2.83455e-06
1.67716,1.71847e-06
1.68795,1.14914e-06
1.69747,1.35457e-06
1.7378,4.87682e-06
1.78316,3.58188e-06
1.7915,2.89392e-06
1.79953,3.26714e-06
1.80766,2.40901e-06
1.8157,2.23618e-06
1.83209,6.18741e-06
1.85206,2.2243e-06
1.85491,4.71491e-06
1.85891,7.91274e-07
1.86584,1.50303e-06
1.87243,8.92648e-07
1.87868,4.56369e-07
1.88063,6.00865e-06
1.8981,5.02635e-06
1.9067,2.40795e-06
1.91303,3.81414e-06
1.91935,4.37027e-06
1.9255,4.18219e-06
1.9314,4.57642e-06
1.93756,3.59971e-06
1.94374,4.34452e-06
1.94989,3.34482e-06
1.9565,4.12623e-06
1.96129,3.47426e-06
1.96745,2.8393e-06
1.9736,3.636e-06
1.97835,1.27941e-06
1.98102,1.07481e-06
1.98523,1.25486e-06
1.99384,2.11439e-06
1.99628,5.52253e-06
2.01626,5.91255e-06
2.03004,5.38206e-06
2.04841,7.51697e-06
2.05883,1.74729e-06
2.06244,2.43693e-06
2.06644,9.24336e-07
2.06654,3.19818e-06
2.07055,3.25135e-06
2.07487,2.54599e-06
2.08052,4.5025e-06
2.0884,3.02461e-06
2.09134,3.52777e-06
2.0962,2.00451e-06
2.10003,2.91894e-06
2.10466,2.96175e-06
2.10766,2.67846e-06
2.11246,2.79448e-06
2.11684,2.19616e-06
2.12153,1.75271e-06
2.12485,1.96777e-06
2.12941,2.45576e-06
2.14021,7.42904e-06
