PPM,Amp
1.5349,3.58205e-09
1.74567,7.54818e-09
1.89435,6.84416e-09
2.00576,3.39585e-08
2.09322,2.65024e-08
2.16424,6.02171e-07
2.22335,4.41868e-08
2.27344,5.21418e-08
2.31619,6.14505e-07
2.35397,6.61991e-07
2.3875,5.55949e-07
2.417,4.65675e-07
2.44423,4.85447e-07
2.46835,5.16415e-07
2.48927,6.99374e-07
2.51004,7.31804e-07
2.5272,6.90697e-07
2.54452,6.07425e-07
2.56016,8.17629e-07
2.57459,5.6735e-07
2.58786,7.42684e-07
2.60029,6.8896e-07
2.61232,6.40232e-07
2.62285,8.51526e-07
2.63483,7.03669e-07
2.64413,7.15459e-07
2.65354,6.60938e-07
2.66257,6.63762e-07
2.67087,6.38451e-07
2.67921,6.44715e-07
2.68665,6.77348e-07
2.69409,6.46155e-07
2.70061,6.27403e-07
2.70736,6.36597e-07
2.71373,6.51261e-07
2.71958,7.61696e-07
2.72582,7.84373e-07
2.73115,1.03019e-06
2.73671,9.66715e-07
2.74187,9.98433e-07
2.74704,1.03271e-06
2.75182,1.04621e-06
2.75634,1.01976e-06
2.76084,1.18015e-06
2.76543,1.12461e-06
2.76973,1.11675e-06
2.77394,1.14178e-06
2.77759,1.09117e-06
2.78135,1.19749e-06
2.78517,1.23993e-06
2.78887,1.0611e-06
2.79249,1.18697e-06
2.79562,9.38471e-07
2.79672,4.87037e-07
2.79902,1.14965e-06
2.80217,1.3359e-06
2.80526,1.12698e-06
2.80826,1.25636e-06
2.81125,1.07184e-06
2.81415,1.03355e-06
2.81708,8.93428e-07
2.81728,3.61933e-07
2.81986,1.06015e-06
2.81996,5.07877e-07
2.82237,1.00959e-06
2.82457,1.21339e-06
2.82769,6.71151e-07
2.83004,1.27469e-06
2.83228,1.4809e-06
2.83486,1.43332e-06
2.83721,1.51698e-06
2.83936,1.56853e-06
2.84153,1.44066e-06
2.84379,1.70951e-06
2.84596,1.11967e-06
2.84778,1.48542e-06
2.8499,1.48293e-06
2.85181,1.68536e-06
2.85375,1.54532e-06
2.85577,1.89227e-06
2.85765,1.451e-06
2.85937,1.78776e-06
2.86119,1.68234e-06
2.86298,1.77821e-06
2.86468,1.70495e-06
2.86644,1.77049e-06
2.8681,1.53245e-06
2.86974,1.60583e-06
2.87137,1.18743e-06
2.87288,1.10008e-06
2.87451,1.11996e-06
2.87567,1.33916e-06
2.876,7.35096e-07
2.87739,7.67107e-07
2.87887,5.78425e-07
2.88024,5.39203e-07
2.89463,5.04763e-06
2.90579,2.41097e-06
2.90724,2.84444e-06
2.90913,5.65971e-07
2.91004,1.14301e-06
2.91005,1.76125e-06
2.91029,1.10019e-06
2.91196,1.21127e-06
2.91227,8.10746e-06
2.91377,2.60198e-06
2.91486,3.47822e-06
2.91577,3.02478e-06
2.91664,4.14585e-06
2.91756,3.28812e-06
2.91835,3.95182e-06
2.91922,3.35059e-06
2.92014,4.56999e-06
2.92103,2.98368e-06
2.92182,3.17277e-06
2.92266,4.72423e-06
2.92345,1.59456e-06
2.92436,3.37598e-06
2.92516,1.35174e-06
2.92595,2.33672e-06
2.92629,2.80112e-06
2.92712,1.0309e-06
2.93016,5.37572e-07
2.93105,4.08956e-07
2.93177,1.24906e-05
2.93758,3.74905e-06
2.93906,2.20812e-06
2.94056,1.5429e-06
2.94067,1.90778e-06
2.94169,7.51345e-06
2.94239,4.5116e-06
2.94361,3.0673e-06
2.94427,2.23272e-06
2.94479,3.20827e-06
2.94543,2.24525e-06
2.94611,1.16386e-06
2.94708,5.98207e-06
2.94906,3.66154e-06
2.94996,7.72684e-07
2.95182,1.07654e-05
2.95255,4.79771e-06
2.95563,7.65808e-06
2.95684,1.86776e-06
2.95733,2.59292e-06
2.95738,9.81663e-07
2.95793,3.57954e-06
2.95866,3.6067e-06
2.95898,2.16266e-06
2.95949,2.90691e-06
2.96022,3.31999e-06
2.96061,2.73503e-06
2.96112,1.61656e-06
2.96167,2.19326e-06
2.96207,3.33049e-06
2.96287,2.98884e-06
2.96331,2.01618e-06
2.96418,4.87464e-06
2.9649,7.38438e-07
2.9661,7.94446e-06
2.96713,3.8702e-06
2.96846,2.51815e-06
2.97052,4.58326e-06
2.97066,7.81674e-06
2.9724,3.87422e-06
2.97307,2.78413e-06
2.97379,2.84993e-06
2.97437,2.12602e-06
2.9754,5.22092e-06
2.97617,2.61565e-06
2.97781,1.06609e-06
2.97849,2.15345e-06
2.97909,1.27476e-05
2.98062,2.23975e-06
2.98165,3.6008e-06
2.98312,6.5464e-06
2.98381,4.16473e-06
2.98488,2.95825e-06
2.98553,2.07185e-06
2.9865,7.54401e-06
2.98739,1.89994e-06
2.98839,3.67723e-06
2.98878,2.75547e-06
2.99026,4.50417e-06
2.99111,7.32789e-06
2.99209,2.0352e-06
2.99304,6.61418e-06
2.99486,6.98658e-06
2.99666,6.30884e-06
2.99982,1.17519e-05
3.00216,7.99952e-07
3.00329,2.55829e-06
3.00474,4.37001e-06
3.00607,4.19099e-06
3.00693,3.72191e-06
3.00773,7.99994e-07
3.00856,1.42662e-06
3.01,7.52157e-06
3.0113,6.79454e-07
3.01268,6.0131e-06
3.01513,5.30986e-06
3.01554,5.79953e-07
3.01662,2.30015e-06
3.01808,3.33844e-06
3.01931,3.85854e-07
3.02003,2.23318e-06
3.0223,1.61723e-06
3.02351,2.94758e-06
3.02631,1.36672e-05
3.09778,0.227581
3.11127,0.223291
3.12168,0.307352
3.13517,0.309424
3.2544,0.300844
3.26262,0.302916
3.2783,0.223159
3.28653,0.224312
3.34337,1.82445e-05
3.3559,9.98566e-06
3.36253,2.24306e-05
3.36697,8.92734e-06
3.36917,7.01064e-06
3.37024,5.73491e-06
3.37292,1.67713e-05
3.37715,2.13033e-05
3.38075,6.98228e-06
3.38185,3.47237e-06
3.382,4.72167e-06
3.3834,5.77874e-06
3.38507,4.22666e-06
3.38909,2.8991e-05
3.39395,5.91624e-06
3.39402,4.72343e-06
3.39462,2.15815e-06
3.39528,7.54664e-07
3.39532,3.02515e-06
3.39661,1.30155e-05
3.39906,1.7587e-05
3.40147,2.51004e-06
3.40241,1.35149e-05
3.40455,6.36633e-06
3.40466,2.84363e-06
3.40688,1.72645e-05
3.40761,1.89241e-06
3.40804,5.54879e-07
3.40855,1.31691e-06
3.40955,7.59756e-06
3.41072,9.04792e-06
3.41134,4.18909e-06
3.41293,1.55592e-05
3.41522,1.04649e-05
3.41613,4.54367e-06
3.41777,4.8383e-06
3.41891,6.27272e-06
3.41894,3.53501e-06
3.42008,1.08603e-05
3.42091,2.13509e-06
3.4213,3.03289e-06
3.42167,2.19872e-06
3.42234,6.16502e-06
3.42287,3.40998e-06
3.42369,3.36538e-06
3.42378,4.41912e-06
3.42456,7.51353e-06
3.42561,7.88998e-06
3.42645,4.98279e-06
3.42722,6.07494e-06
3.4277,3.10857e-07
3.42785,2.92357e-06
3.42825,2.90372e-06
3.42937,1.69982e-05
3.43083,6.40968e-06
3.43207,1.30271e-05
3.43306,4.96871e-06
3.43366,4.48645e-06
3.43412,5.44546e-06
3.43427,2.2145e-06
3.43515,1.08014e-05
3.43581,4.08765e-06
3.43643,4.34319e-06
3.43735,1.17128e-05
3.43896,1.22999e-05
3.44082,1.20797e-05
3.44229,5.26384e-06
3.44303,5.87981e-06
3.44406,1.5545e-06
3.4441,5.17203e-06
3.4447,4.13453e-06
3.44542,1.77887e-06
3.4464,1.35073e-05
3.44776,4.43539e-06
3.44887,3.97589e-06
3.4495,8.90505e-06
3.45092,8.71902e-06
3.45207,4.11054e-06
3.45257,5.365e-06
3.45352,4.9542e-06
3.45419,4.01869e-06
3.45537,9.69261e-06
3.45708,4.37733e-06
3.45746,4.12768e-06
3.45825,4.54411e-06
3.45919,5.10143e-06
3.45994,5.05815e-06
3.46076,4.78977e-06
3.46152,6.07073e-06
3.4624,6.02945e-06
3.46323,5.53932e-06
3.4641,6.03638e-06
3.46499,5.74483e-06
3.46589,5.88479e-06
3.46678,6.01322e-06
3.46767,5.55149e-06
3.46857,4.60038e-06
3.46946,4.98256e-06
3.47052,4.91204e-06
3.47144,1.95167e-06
3.47247,4.73115e-06
3.47427,6.97194e-06
3.47695,4.75875e-06
3.47849,4.77803e-06
3.47965,3.23724e-06
3.48074,3.73267e-06
3.48183,3.14451e-06
3.48302,3.76763e-06
3.48411,3.2683e-06
3.48542,4.44465e-06
3.4866,2.6158e-06
3.48787,4.13333e-06
3.48912,2.73511e-06
3.49041,2.72327e-06
3.49149,3.09974e-06
3.4929,3.0154e-06
3.49363,2.06619e-06
3.49439,1.8956e-06
3.49549,3.50151e-06
3.497,3.86945e-06
3.49846,2.78457e-06
3.49985,3.68915e-06
3.50172,3.68982e-06
3.50325,2.72461e-06
3.50479,3.11726e-06
3.50635,2.8033e-06
3.50797,3.35192e-06
3.5096,2.68678e-06
3.5113,3.29993e-06
3.51314,3.12999e-06
3.51493,2.75145e-06
3.51672,2.95539e-06
3.51847,2.56056e-06
3.52046,2.89684e-06
3.5224,2.43941e-06
3.52449,3.10091e-06
3.52661,2.60223e-06
3.52872,2.68257e-06
3.5309,2.63197e-06
3.53326,2.50537e-06
3.53579,2.36037e-06
3.53813,2.0207e-06
3.54118,1.23328e-06
3.54212,5.32366e-07
3.5446,1.85202e-06
3.54622,7.2195e-07
3.54942,2.12102e-06
3.55249,1.69887e-06
3.55548,1.51531e-06
3.55893,1.84682e-06
3.56217,1.45893e-06
3.56574,1.32059e-06
3.56971,1.30542e-06
3.57403,1.2125e-06
3.57864,1.23623e-06
3.58397,1.11229e-06
3.58895,8.77969e-07
3.59536,7.42753e-07
3.60287,6.06015e-07
3.61306,2.34422e-06
3.62642,6.39994e-07
3.65699,6.83167e-07
3.671,7.594e-07
3.67957,6.40595e-07
3.68635,7.71405e-07
3.69241,7.29895e-07
3.69726,1.07349e-06
3.70214,1.07898e-06
3.70649,1.16562e-06
3.71031,1.24277e-06
3.71391,1.26642e-06
3.71731,1.31344e-06
3.72049,1.3687e-06
3.72367,1.43078e-06
3.72652,1.20226e-06
3.72682,1.32848e-06
3.72908,1.31906e-06
3.73208,1.39525e-06
3.73424,1.49618e-06
3.73681,1.52242e-06
3.73886,1.93157e-06
3.74105,2.01523e-06
3.74325,1.90646e-06
3.74529,2.10219e-06
3.74717,1.94787e-06
3.74912,2.26948e-06
3.751,2.13058e-06
3.75285,2.12125e-06
3.75449,2.02075e-06
3.75637,2.33718e-06
3.75796,1.56079e-06
3.75945,1.76879e-06
3.76118,1.39389e-06
3.76263,7.54426e-07
3.76418,8.80464e-07
3.76569,5.05289e-07
3.76709,6.59581e-07
3.76849,4.40324e-07
3.76878,6.39531e-06
3.77651,2.31902e-06
3.78034,1.47724e-06
3.78325,4.01032e-06
3.78702,2.17723e-07
3.78756,7.7427e-06
3.78822,1.09004e-06
3.78921,9.56564e-07
3.79022,2.31099e-06
3.791,9.69282e-07
3.79182,3.25316e-06
3.79281,2.14055e-06
3.79371,2.91423e-06
3.79456,2.99459e-06
3.79554,3.37954e-06
3.79635,2.90232e-06
3.79725,2.83305e-06
3.79806,2.18642e-06
3.79893,2.51045e-06
3.80036,6.3836e-06
3.8023,9.09786e-07
3.80407,4.14144e-06
3.80426,8.43827e-07
3.80494,2.87889e-06
3.80856,7.06632e-06
3.81118,2.18875e-06
3.81234,5.28954e-07
3.81344,6.66211e-06
3.81471,3.50473e-07
3.81543,2.44402e-06
3.81602,2.30078e-06
3.81656,2.19439e-06
3.81707,2.1552e-06
3.81767,1.57486e-06
3.81837,3.69982e-06
3.81966,5.05176e-06
3.82074,4.83929e-06
3.82196,3.95207e-06
3.82363,3.68455e-06
3.82504,2.30287e-06
3.82533,2.63068e-06
3.82633,2.30702e-06
3.82648,1.40463e-06
3.82702,3.6613e-06
3.82749,2.66297e-06
3.82835,2.52086e-06
3.8292,4.51739e-06
3.82994,1.88136e-06
3.8301,2.75906e-06
3.83081,1.95251e-06
3.83111,1.77021e-06
3.83186,4.07281e-06
3.83285,3.5968e-06
3.83286,1.66523e-06
3.83344,2.29391e-06
3.83433,8.91966e-07
3.83437,2.4644e-06
3.83538,3.5516e-06
3.83587,2.64499e-06
3.83662,2.27065e-06
3.83667,5.1164e-07
3.83741,1.82228e-06
3.83895,9.14464e-06
3.84078,3.01987e-06
3.84204,3.79697e-06
3.84326,4.05643e-06
3.84409,1.26705e-06
3.84453,2.82149e-06
3.84501,1.53082e-06
3.8453,3.18843e-06
3.84693,4.21459e-06
3.84766,2.75193e-06
3.84793,3.4371e-06
3.84961,8.58646e-06
3.85287,1.28775e-05
3.85534,1.04235e-06
3.85623,7.07799e-06
3.85781,3.88171e-06
3.85931,9.29928e-06
3.86237,3.89413e-06
3.86455,1.04814e-05
3.86865,6.2073e-06
3.87153,6.35657e-06
3.87446,5.22342e-06
3.8764,2.99309e-06
3.87792,2.72216e-06
3.88034,3.41713e-06
3.88315,2.40416e-06
3.88732,1.20355e-06
3.88841,1.17999e-05
3.96727,0.280805
3.97548,0.263294
3.98074,0.270243
3.98898,0.278165
4.04957,9.35728e-06
4.0588,1.91192e-06
4.06225,8.20029e-06
4.06805,5.5613e-06
4.07067,9.33792e-06
4.074,1.17581e-05
4.07742,1.629e-05
4.0803,1.51446e-05
4.08178,5.49708e-06
4.08207,4.14982e-06
4.08329,6.98837e-06
4.0848,5.21942e-06
4.08484,9.75321e-06
4.08624,9.15718e-06
4.08799,1.14489e-05
4.0895,1.40545e-05
4.09147,1.57174e-05
4.09435,2.75339e-05
4.09857,5.11128e-06
4.09902,3.27274e-06
4.09971,3.72145e-06
4.09974,4.68703e-06
4.10036,2.32142e-06
4.10072,2.9601e-06
4.10127,2.1914e-06
4.1021,1.04747e-05
4.10374,4.87896e-06
4.10426,8.04256e-06
4.10566,7.48163e-06
4.10705,3.63469e-06
4.11034,2.45218e-05
4.11314,3.42081e-06
4.11328,6.48401e-07
4.11495,1.32878e-05
4.11576,1.8965e-06
4.11597,3.50201e-07
4.11657,6.04361e-06
4.11861,1.80117e-05
4.1205,6.38939e-06
4.12123,2.24288e-06
4.12196,9.53179e-06
4.12287,4.25756e-06
4.12329,2.50022e-06
4.12357,4.24973e-06
4.12495,3.01683e-06
4.12524,5.20278e-06
4.1262,2.96204e-06
4.12672,4.05138e-06
4.12697,4.78738e-06
4.12812,1.52126e-06
4.12937,1.3291e-05
4.1307,6.25556e-07
4.13279,3.02092e-06
4.13349,1.20891e-05
4.13583,9.02239e-06
4.1378,7.41746e-06
4.13842,3.92224e-06
4.13894,3.92471e-06
4.13944,3.07078e-06
4.14077,1.09192e-05
4.14442,1.69366e-05
4.14668,8.09284e-07
4.14691,4.49938e-07
4.14723,1.81223e-06
4.14777,2.25454e-06
4.14815,3.80731e-06
4.14837,4.00815e-06
4.14909,3.0173e-06
4.14963,4.32585e-06
4.15057,8.63688e-06
4.15175,2.20225e-06
4.15226,5.77236e-06
4.15278,5.15194e-06
4.15373,4.11741e-06
4.15421,4.84831e-06
4.15533,8.02754e-06
4.15649,4.04228e-06
4.15717,7.61288e-06
4.1587,3.41362e-06
4.15899,4.91957e-06
4.16004,3.86465e-06
4.16086,5.45518e-06
4.16162,4.42685e-06
4.16233,4.66766e-06
4.16308,4.96874e-06
4.16397,5.93106e-06
4.1648,5.85485e-06
4.16566,5.66059e-06
4.16654,6.39203e-06
4.16743,6.00373e-06
4.16832,6.13277e-06
4.16922,5.82278e-06
4.17011,5.28236e-06
4.17103,5.01544e-06
4.17191,6.88931e-07
4.17194,3.93736e-06
4.17296,4.19535e-06
4.1739,2.13913e-06
4.17397,1.83838e-06
4.17514,2.84206e-06
4.17773,1.29149e-05
