SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000037-d2o-sat-7-22-11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.373e+00     1.173e-02  
T     =       3.546s    7024043857971.961s  

RSS   =    1.046e-02
SD    =    1.867e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.047e+00     4.694e-02
    2       2.000s     8.389e-01     7.925e-01    -4.636e-02
    3       3.000s     6.444e-01     6.007e-01    -4.378e-02
    4       4.000s     4.688e-01     4.559e-01    -1.289e-02
    5       5.000s     3.365e-01     3.468e-01     1.028e-02
    6       6.000s     2.439e-01     2.644e-01     2.057e-02
    7       7.000s     1.787e-01     2.023e-01     2.364e-02
    8       8.000s     1.328e-01     1.555e-01     2.273e-02
    9       9.000s     1.011e-01     1.202e-01     1.911e-02
   10      10.000s     7.886e-02     9.352e-02     1.466e-02
   11      11.000s     6.333e-02     7.342e-02     1.009e-02
   12      12.000s     5.399e-02     5.826e-02     4.270e-03
   13      13.000s     4.977e-02     4.682e-02    -2.944e-03
   14      14.000s     4.794e-02     3.820e-02    -9.738e-03
   15      15.000s     4.639e-02     3.169e-02    -1.469e-02
   16      16.000s     4.463e-02     2.679e-02    -1.785e-02
   17      17.000s     4.201e-02     2.309e-02    -1.892e-02
   18      18.000s     3.726e-02     2.030e-02    -1.696e-02
   19      19.000s     3.062e-02     1.819e-02    -1.243e-02
   20      20.000s     2.420e-02     1.660e-02    -7.596e-03
   21      21.000s     1.946e-02     1.540e-02    -4.056e-03
   22      22.000s     1.589e-02     1.450e-02    -1.389e-03
   23      23.000s     1.276e-02     1.382e-02     1.056e-03
   24      24.000s     1.045e-02     1.331e-02     2.859e-03
   25      25.000s     9.205e-03     1.292e-02     3.713e-03
   26      26.000s     8.281e-03     1.263e-02     4.345e-03
   27      27.000s     7.067e-03     1.241e-02     5.338e-03
   28      28.000s     5.986e-03     1.224e-02     6.253e-03
   29      29.000s     5.430e-03     1.211e-02     6.684e-03
   30      30.000s     4.939e-03     1.202e-02     7.080e-03

============================================================

