SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000037-d2o-sat-7-22-11/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 213 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.362e+00     2.565e-02  
T     =       3.425s       50.121s  

RSS   =    9.826e-03
SD    =    1.810e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.042e+00     4.199e-02
    2       2.000s     8.250e-01     7.840e-01    -4.100e-02
    3       3.000s     6.343e-01     5.912e-01    -4.308e-02
    4       4.000s     4.607e-01     4.471e-01    -1.354e-02
    5       5.000s     3.262e-01     3.394e-01     1.321e-02
    6       6.000s     2.350e-01     2.589e-01     2.391e-02
    7       7.000s     1.751e-01     1.986e-01     2.359e-02
    8       8.000s     1.325e-01     1.535e-01     2.109e-02
    9       9.000s     1.014e-01     1.198e-01     1.837e-02
   10      10.000s     8.106e-02     9.444e-02     1.339e-02
   11      11.000s     6.872e-02     7.543e-02     6.712e-03
   12      12.000s     6.054e-02     6.114e-02     6.017e-04
   13      13.000s     5.547e-02     5.037e-02    -5.103e-03
   14      14.000s     5.387e-02     4.224e-02    -1.163e-02
   15      15.000s     5.363e-02     3.607e-02    -1.756e-02
   16      16.000s     5.143e-02     3.138e-02    -2.005e-02
   17      17.000s     4.666e-02     2.778e-02    -1.888e-02
   18      18.000s     4.106e-02     2.501e-02    -1.605e-02
   19      19.000s     3.536e-02     2.286e-02    -1.250e-02
   20      20.000s     2.907e-02     2.117e-02    -7.894e-03
   21      21.000s     2.285e-02     1.983e-02    -3.026e-03
   22      22.000s     1.835e-02     1.875e-02     3.990e-04
   23      23.000s     1.563e-02     1.786e-02     2.234e-03
   24      24.000s     1.330e-02     1.712e-02     3.823e-03
   25      25.000s     1.093e-02     1.650e-02     5.565e-03
   26      26.000s     9.362e-03     1.596e-02     6.595e-03
   27      27.000s     8.687e-03     1.548e-02     6.794e-03
   28      28.000s     7.932e-03     1.506e-02     7.124e-03
   29      29.000s     6.819e-03     1.467e-02     7.850e-03
   30      30.000s     6.116e-03     1.431e-02     8.196e-03

============================================================

