ppm,val
-1.668824,-0.000048
-1.668427,-0.000070
-1.668031,-0.000083
-1.667634,-0.000075
-1.667238,-0.000053
-1.666841,-0.000036
-1.666445,-0.000038
-1.666048,-0.000055
-1.665652,-0.000070
-1.665256,-0.000075
-1.664859,-0.000089
-1.664463,-0.000118
-1.664066,-0.000133
-1.663670,-0.000106
-1.663273,-0.000066
-1.662877,-0.000067
-1.662480,-0.000099
-1.662084,-0.000104
-1.661687,-0.000064
-1.661291,-0.000024
-1.660895,-0.000018
-1.660498,-0.000023
-1.660102,-0.000025
-1.659705,-0.000054
-1.659309,-0.000109
-1.658912,-0.000131
-1.658516,-0.000087
-1.658119,-0.000036
-1.657723,-0.000052
-1.657326,-0.000109
-1.656930,-0.000124
-1.656533,-0.000082
-1.656137,-0.000042
-1.655741,-0.000039
-1.655344,-0.000053
-1.654948,-0.000059
-1.654551,-0.000065
-1.654155,-0.000079
-1.653758,-0.000097
-1.653362,-0.000121
-1.652965,-0.000147
-1.652569,-0.000149
-1.652172,-0.000110
-1.651776,-0.000058
-1.651380,-0.000041
-1.650983,-0.000052
-1.650587,-0.000046
-1.650190,-0.000022
-1.649794,-0.000027
-1.649397,-0.000079
-1.649001,-0.000132
-1.648604,-0.000143
-1.648208,-0.000121
-1.647811,-0.000101
-1.647415,-0.000092
-1.647018,-0.000081
-1.646622,-0.000065
-1.646226,-0.000051
-1.645829,-0.000048
-1.645433,-0.000065
-1.645036,-0.000093
-1.644640,-0.000103
-1.644243,-0.000078
-1.643847,-0.000039
-1.643450,-0.000006
-1.643054,0.000029
-1.642657,0.000070
-1.642261,0.000072
-1.641864,0.000002
-1.641468,-0.000088
-1.641072,-0.000101
-1.640675,-0.000031
-1.640279,0.000030
-1.639882,0.000023
-1.639486,-0.000008
-1.639089,-0.000013
-1.638693,-0.000006
-1.638296,-0.000017
-1.637900,-0.000018
-1.637503,0.000007
-1.637107,0.000015
-1.636711,-0.000034
-1.636314,-0.000094
-1.635918,-0.000093
-1.635521,-0.000052
-1.635125,-0.000052
-1.634728,-0.000108
-1.634332,-0.000149
-1.633935,-0.000131
-1.633539,-0.000097
-1.633142,-0.000100
-1.632746,-0.000126
-1.632349,-0.000138
-1.631953,-0.000131
-1.631557,-0.000129
-1.631160,-0.000132
-1.630764,-0.000116
-1.630367,-0.000070
-1.629971,-0.000010
-1.629574,0.000031
-1.629178,0.000030
-1.628781,-0.000004
-1.628385,-0.000036
-1.627988,-0.000033
-1.627592,0.000004
-1.627196,0.000042
-1.626799,0.000059
-1.626403,0.000051
-1.626006,0.000030
-1.625610,0.000003
-1.625213,-0.000022
-1.624817,-0.000042
-1.624420,-0.000052
-1.624024,-0.000045
-1.623627,-0.000022
-1.623231,-0.000010
-1.622834,-0.000040
-1.622438,-0.000102
-1.622042,-0.000145
-1.621645,-0.000133
-1.621249,-0.000095
-1.620852,-0.000078
-1.620456,-0.000082
-1.620059,-0.000072
-1.619663,-0.000050
-1.619266,-0.000050
-1.618870,-0.000077
-1.618473,-0.000095
-1.618077,-0.000078
-1.617680,-0.000049
-1.617284,-0.000038
-1.616888,-0.000036
-1.616491,-0.000013
-1.616095,0.000032
-1.615698,0.000066
-1.615302,0.000056
-1.614905,0.000001
-1.614509,-0.000061
-1.614112,-0.000084
-1.613716,-0.000064
-1.613319,-0.000042
-1.612923,-0.000055
-1.612527,-0.000081
-1.612130,-0.000080
-1.611734,-0.000052
-1.611337,-0.000035
-1.610941,-0.000039
-1.610544,-0.000032
-1.610148,-0.000007
-1.609751,-0.000003
-1.609355,-0.000041
-1.608958,-0.000082
-1.608562,-0.000084
-1.608165,-0.000069
-1.607769,-0.000088
-1.607373,-0.000143
-1.606976,-0.000188
-1.606580,-0.000187
-1.606183,-0.000137
-1.605787,-0.000058
-1.605390,0.000008
-1.604994,0.000014
-1.604597,-0.000043
-1.604201,-0.000104
-1.603804,-0.000108
-1.603408,-0.000071
-1.603012,-0.000056
-1.602615,-0.000077
-1.602219,-0.000082
-1.601822,-0.000041
-1.601426,0.000009
-1.601029,0.000017
-1.600633,-0.000011
-1.600236,-0.000034
-1.599840,-0.000036
-1.599443,-0.000033
-1.599047,-0.000040
-1.598650,-0.000052
-1.598254,-0.000057
-1.597858,-0.000055
-1.597461,-0.000056
-1.597065,-0.000067
-1.596668,-0.000083
-1.596272,-0.000084
-1.595875,-0.000062
-1.595479,-0.000038
-1.595082,-0.000036
-1.594686,-0.000036
-1.594289,0.000001
-1.593893,0.000058
-1.593496,0.000064
-1.593100,-0.000008
-1.592704,-0.000095
-1.592307,-0.000119
-1.591911,-0.000093
-1.591514,-0.000087
-1.591118,-0.000120
-1.590721,-0.000135
-1.590325,-0.000090
-1.589928,-0.000013
-1.589532,0.000038
-1.589135,0.000032
-1.588739,-0.000023
-1.588343,-0.000094
-1.587946,-0.000131
-1.587550,-0.000102
-1.587153,-0.000041
-1.586757,-0.000015
-1.586360,-0.000036
-1.585964,-0.000045
-1.585567,-0.000001
-1.585171,0.000051
-1.584774,0.000044
-1.584378,-0.000003
-1.583981,-0.000016
-1.583585,0.000020
-1.583189,0.000043
-1.582792,0.000011
-1.582396,-0.000041
-1.581999,-0.000069
-1.581603,-0.000080
-1.581206,-0.000102
-1.580810,-0.000130
-1.580413,-0.000135
-1.580017,-0.000114
-1.579620,-0.000091
-1.579224,-0.000083
-1.578827,-0.000084
-1.578431,-0.000083
-1.578035,-0.000075
-1.577638,-0.000061
-1.577242,-0.000052
-1.576845,-0.000056
-1.576449,-0.000068
-1.576052,-0.000072
-1.575656,-0.000075
-1.575259,-0.000099
-1.574863,-0.000145
-1.574466,-0.000174
-1.574070,-0.000159
-1.573674,-0.000120
-1.573277,-0.000097
-1.572881,-0.000100
-1.572484,-0.000098
-1.572088,-0.000074
-1.571691,-0.000048
-1.571295,-0.000047
-1.570898,-0.000077
-1.570502,-0.000117
-1.570105,-0.000134
-1.569709,-0.000111
-1.569312,-0.000069
-1.568916,-0.000050
-1.568520,-0.000073
-1.568123,-0.000107
-1.567727,-0.000110
-1.567330,-0.000077
-1.566934,-0.000034
-1.566537,-0.000014
-1.566141,-0.000026
-1.565744,-0.000066
-1.565348,-0.000110
-1.564951,-0.000124
-1.564555,-0.000103
-1.564159,-0.000074
-1.563762,-0.000063
-1.563366,-0.000060
-1.562969,-0.000048
-1.562573,-0.000048
-1.562176,-0.000081
-1.561780,-0.000110
-1.561383,-0.000085
-1.560987,-0.000026
-1.560590,-0.000005
-1.560194,-0.000047
-1.559797,-0.000099
-1.559401,-0.000122
-1.559005,-0.000134
-1.558608,-0.000150
-1.558212,-0.000141
-1.557815,-0.000094
-1.557419,-0.000054
-1.557022,-0.000064
-1.556626,-0.000090
-1.556229,-0.000070
-1.555833,-0.000016
-1.555436,0.000000
-1.555040,-0.000056
-1.554643,-0.000140
-1.554247,-0.000186
-1.553851,-0.000177
-1.553454,-0.000150
-1.553058,-0.000144
-1.552661,-0.000168
-1.552265,-0.000184
-1.551868,-0.000161
-1.551472,-0.000120
-1.551075,-0.000112
-1.550679,-0.000144
-1.550282,-0.000158
-1.549886,-0.000126
-1.549490,-0.000090
-1.549093,-0.000088
-1.548697,-0.000083
-1.548300,-0.000040
-1.547904,-0.000006
-1.547507,-0.000044
-1.547111,-0.000111
-1.546714,-0.000108
-1.546318,-0.000031
-1.545921,0.000014
-1.545525,-0.000030
-1.545128,-0.000094
-1.544732,-0.000102
-1.544336,-0.000071
-1.543939,-0.000050
-1.543543,-0.000031
-1.543146,0.000003
-1.542750,0.000023
-1.542353,-0.000006
-1.541957,-0.000051
-1.541560,-0.000056
-1.541164,-0.000032
-1.540767,-0.000032
-1.540371,-0.000071
-1.539975,-0.000107
-1.539578,-0.000112
-1.539182,-0.000098
-1.538785,-0.000085
-1.538389,-0.000086
-1.537992,-0.000113
-1.537596,-0.000162
-1.537199,-0.000193
-1.536803,-0.000167
-1.536406,-0.000104
-1.536010,-0.000063
-1.535613,-0.000062
-1.535217,-0.000075
-1.534821,-0.000086
-1.534424,-0.000099
-1.534028,-0.000101
-1.533631,-0.000061
-1.533235,0.000010
-1.532838,0.000051
-1.532442,0.000021
-1.532045,-0.000047
-1.531649,-0.000099
-1.531252,-0.000118
-1.530856,-0.000118
-1.530459,-0.000109
-1.530063,-0.000095
-1.529667,-0.000086
-1.529270,-0.000084
-1.528874,-0.000069
-1.528477,-0.000038
-1.528081,-0.000015
-1.527684,-0.000014
-1.527288,-0.000012
-1.526891,0.000008
-1.526495,0.000012
-1.526098,-0.000029
-1.525702,-0.000085
-1.525306,-0.000095
-1.524909,-0.000057
-1.524513,-0.000035
-1.524116,-0.000056
-1.523720,-0.000074
-1.523323,-0.000046
-1.522927,-0.000004
-1.522530,0.000003
-1.522134,-0.000012
-1.521737,0.000001
-1.521341,0.000038
-1.520944,0.000048
-1.520548,0.000017
-1.520152,-0.000006
-1.519755,0.000006
-1.519359,0.000015
-1.518962,-0.000015
-1.518566,-0.000053
-1.518169,-0.000053
-1.517773,-0.000039
-1.517376,-0.000060
-1.516980,-0.000091
-1.516583,-0.000051
-1.516187,0.000063
-1.515791,0.000144
-1.515394,0.000115
-1.514998,0.000030
-1.514601,-0.000005
-1.514205,0.000022
-1.513808,0.000043
-1.513412,0.000027
-1.513015,0.000009
-1.512619,0.000013
-1.512222,0.000019
-1.511826,0.000020
-1.511429,0.000048
-1.511033,0.000102
-1.510637,0.000115
-1.510240,0.000048
-1.509844,-0.000038
-1.509447,-0.000045
-1.509051,0.000026
-1.508654,0.000078
-1.508258,0.000044
-1.507861,-0.000035
-1.507465,-0.000075
-1.507068,-0.000056
-1.506672,-0.000023
-1.506275,-0.000007
-1.505879,-0.000002
-1.505483,-0.000005
-1.505086,-0.000034
-1.504690,-0.000088
-1.504293,-0.000123
-1.503897,-0.000096
-1.503500,-0.000031
-1.503104,0.000001
-1.502707,-0.000025
-1.502311,-0.000059
-1.501914,-0.000044
-1.501518,-0.000002
-1.501122,-0.000005
-1.500725,-0.000073
-1.500329,-0.000150
-1.499932,-0.000178
-1.499536,-0.000152
-1.499139,-0.000111
-1.498743,-0.000082
-1.498346,-0.000078
-1.497950,-0.000105
-1.497553,-0.000151
-1.497157,-0.000181
-1.496760,-0.000173
-1.496364,-0.000142
-1.495968,-0.000122
-1.495571,-0.000126
-1.495175,-0.000140
-1.494778,-0.000155
-1.494382,-0.000170
-1.493985,-0.000173
-1.493589,-0.000147
-1.493192,-0.000093
-1.492796,-0.000040
-1.492399,-0.000018
-1.492003,-0.000027
-1.491607,-0.000050
-1.491210,-0.000070
-1.490814,-0.000075
-1.490417,-0.000058
-1.490021,-0.000022
-1.489624,0.000018
-1.489228,0.000043
-1.488831,0.000047
-1.488435,0.000028
-1.488038,-0.000018
-1.487642,-0.000083
-1.487245,-0.000139
-1.486849,-0.000155
-1.486453,-0.000132
-1.486056,-0.000103
-1.485660,-0.000096
-1.485263,-0.000105
-1.484867,-0.000106
-1.484470,-0.000090
-1.484074,-0.000077
-1.483677,-0.000088
-1.483281,-0.000120
-1.482884,-0.000145
-1.482488,-0.000136
-1.482091,-0.000097
-1.481695,-0.000054
-1.481299,-0.000036
-1.480902,-0.000045
-1.480506,-0.000058
-1.480109,-0.000053
-1.479713,-0.000034
-1.479316,-0.000018
-1.478920,-0.000013
-1.478523,-0.000012
-1.478127,-0.000015
-1.477730,-0.000030
-1.477334,-0.000051
-1.476938,-0.000054
-1.476541,-0.000035
-1.476145,-0.000035
-1.475748,-0.000081
-1.475352,-0.000140
-1.474955,-0.000146
-1.474559,-0.000095
-1.474162,-0.000060
-1.473766,-0.000096
-1.473369,-0.000164
-1.472973,-0.000183
-1.472576,-0.000127
-1.472180,-0.000053
-1.471784,-0.000024
-1.471387,-0.000045
-1.470991,-0.000075
-1.470594,-0.000079
-1.470198,-0.000061
-1.469801,-0.000046
-1.469405,-0.000053
-1.469008,-0.000066
-1.468612,-0.000059
-1.468215,-0.000040
-1.467819,-0.000053
-1.467423,-0.000104
-1.467026,-0.000137
-1.466630,-0.000098
-1.466233,-0.000018
-1.465837,0.000026
-1.465440,0.000017
-1.465044,0.000014
-1.464647,0.000041
-1.464251,0.000045
-1.463854,-0.000014
-1.463458,-0.000080
-1.463061,-0.000080
-1.462665,-0.000034
-1.462269,-0.000018
-1.461872,-0.000038
-1.461476,-0.000025
-1.461079,0.000035
-1.460683,0.000063
-1.460286,0.000001
-1.459890,-0.000084
-1.459493,-0.000094
-1.459097,-0.000033
-1.458700,0.000009
-1.458304,-0.000015
-1.457907,-0.000076
-1.457511,-0.000130
-1.457115,-0.000154
-1.456718,-0.000120
-1.456322,-0.000010
-1.455925,0.000119
-1.455529,0.000158
-1.455132,0.000079
-1.454736,-0.000013
-1.454339,-0.000023
-1.453943,0.000007
-1.453546,-0.000022
-1.453150,-0.000102
-1.452754,-0.000140
-1.452357,-0.000112
-1.451961,-0.000098
-1.451564,-0.000143
-1.451168,-0.000178
-1.450771,-0.000139
-1.450375,-0.000075
-1.449978,-0.000068
-1.449582,-0.000102
-1.449185,-0.000096
-1.448789,-0.000048
-1.448392,-0.000035
-1.447996,-0.000080
-1.447600,-0.000103
-1.447203,-0.000053
-1.446807,0.000011
-1.446410,0.000009
-1.446014,-0.000049
-1.445617,-0.000089
-1.445221,-0.000089
-1.444824,-0.000088
-1.444428,-0.000099
-1.444031,-0.000092
-1.443635,-0.000056
-1.443239,-0.000032
-1.442842,-0.000046
-1.442446,-0.000067
-1.442049,-0.000054
-1.441653,-0.000015
-1.441256,0.000009
-1.440860,-0.000000
-1.440463,-0.000030
-1.440067,-0.000062
-1.439670,-0.000079
-1.439274,-0.000063
-1.438877,-0.000016
-1.438481,0.000019
-1.438085,0.000004
-1.437688,-0.000033
-1.437292,-0.000036
-1.436895,-0.000011
-1.436499,-0.000025
-1.436102,-0.000091
-1.435706,-0.000132
-1.435309,-0.000087
