PPM,Amp
1.99751,0.0709114
2.01517,0.161356
2.01794,0.119024
2.03505,0.328104
2.05219,0.470128
2.06974,0.314583
2.07318,0.506047
2.07858,0.251409
2.09085,0.462455
2.09789,0.430236
2.1101,0.437412
2.11681,0.325199
2.12901,0.3113
2.13488,0.186001
2.14714,0.156122
2.15408,0.113336
2.16611,0.0990157
2.27926,0.0407356
2.29663,0.0660409
2.3192,0.821454
2.32168,0.829861
2.3381,1.00002
2.341,0.979261
2.35569,0.531088
2.36191,0.536999
2.38271,0.0593476
2.40173,0.0303619
3.73285,0.580336
3.74502,0.635492
3.75047,0.634615
3.76267,0.580972
