PPM,Amp
-0.963061,1.11291e-06
-0.955767,6.10727e-07
-0.954728,1.40649e-07
-0.936823,1.69329e-06
-0.927828,3.42527e-06
-0.908127,3.41417e-07
-0.899628,7.02925e-07
-0.896751,2.74947e-07
-0.882279,1.19978e-06
-0.859829,1.46894e-06
-0.836347,1.39877e-06
-0.812651,1.70763e-06
-0.812542,2.16082e-07
-0.787745,5.07691e-07
-0.767214,1.14951e-06
-0.75949,1.04844e-06
-0.745044,9.39042e-07
-0.737557,2.58032e-07
-0.736367,7.67299e-07
-0.723455,1.10357e-06
-0.716133,1.11112e-06
-0.702388,1.19458e-06
-0.682112,1.3518e-06
-0.673478,2.86989e-07
-0.66158,9.35408e-07
-0.654081,5.88761e-07
-0.641446,1.04079e-06
-0.6348,5.12875e-07
-0.622898,9.9992e-07
-0.615609,4.1242e-07
-0.603953,9.71267e-07
-0.596839,4.27417e-07
-0.585095,9.31918e-07
-0.578684,3.61745e-07
-0.565835,1.04849e-06
-0.5495,8.28901e-07
-0.544342,3.27049e-07
-0.532043,1.11585e-06
-0.514884,1.01026e-06
-0.498022,6.85446e-07
-0.494094,5.10034e-07
-0.481271,7.4081e-07
-0.474912,2.73306e-07
-0.465257,5.7038e-07
-0.458744,4.3203e-07
-0.44701,7.34669e-07
-0.433849,3.60812e-07
-0.432142,4.3112e-07
-0.418057,8.0695e-07
-0.403213,8.24602e-07
-0.401727,4.10658e-07
-0.387826,8.03394e-07
-0.373444,1.13072e-06
-0.359261,8.84045e-07
-0.345275,1.16435e-06
-0.331488,1.25535e-06
-0.318197,1.31407e-06
-0.304906,1.29502e-06
-0.291913,1.49765e-06
-0.279019,1.52754e-06
-0.266173,1.56164e-06
-0.253925,1.67104e-06
-0.241509,1.74191e-06
-0.229525,1.63577e-06
-0.217622,1.97176e-06
-0.205819,1.71158e-06
-0.194314,2.17877e-06
-0.182533,2.12023e-06
-0.17147,2.10789e-06
-0.160128,2.38963e-06
-0.149001,2.37137e-06
-0.13821,2.44641e-06
-0.127537,2.49054e-06
-0.116858,2.56834e-06
-0.106488,2.50265e-06
-0.096156,2.62139e-06
-0.0860554,2.55557e-06
-0.0761783,2.49258e-06
-0.0663544,2.58094e-06
-0.057139,2.29583e-06
-0.0475179,2.5471e-06
-0.0373017,2.13521e-06
-0.0282537,2.1109e-06
-0.0191792,2.38186e-06
-0.0101416,1.99162e-06
-0.000999493,1.95807e-06
0.0077289,1.8448e-06
0.0172742,2.0205e-06
0.0265302,1.80605e-06
0.0312361,1.52404e-07
0.0350051,1.46739e-06
0.0433732,1.72383e-06
0.0451978,4.51721e-06
0.0523255,2.03223e-06
0.060079,1.2919e-06
0.0687609,1.51152e-06
0.072696,3.12221e-07
0.0773577,1.11847e-06
0.0857542,1.3369e-06
0.0901527,6.44281e-07
0.0970831,1.80312e-06
0.106122,8.22146e-07
0.126921,4.61151e-06
0.148375,2.117e-06
0.155417,2.27761e-06
0.163785,2.64674e-06
0.169601,9.22622e-07
0.176643,2.83526e-06
0.183487,1.34362e-06
0.190876,2.54525e-06
0.198663,1.76871e-06
0.206612,4.32544e-06
0.216913,2.22376e-06
0.227446,3.54748e-06
0.236453,1.65874e-06
0.243133,2.07117e-06
0.250182,1.64037e-06
0.258103,3.38561e-06
0.271313,2.83791e-06
0.281183,2.46326e-06
0.284558,1.17723e-06
0.290557,7.27707e-07
0.29626,9.93539e-07
0.301697,1.00754e-06
0.306389,5.25698e-06
0.30999,4.27912e-06
0.318936,2.06425e-06
0.324786,1.07837e-06
0.329298,2.7415e-06
0.335137,1.77652e-06
0.340499,3.93172e-06
0.345558,1.41022e-06
0.346649,1.05728e-06
0.351351,4.61374e-06
0.356964,4.17066e-06
0.362291,4.69089e-06
0.367461,4.88568e-06
0.372329,4.80191e-06
0.377325,5.05559e-06
0.382451,4.9142e-06
0.387561,5.01803e-06
0.39246,4.93123e-06
0.397432,5.13238e-06
0.402479,4.84122e-06
0.407309,4.91258e-06
0.4122,4.86378e-06
0.417047,4.45676e-06
0.422008,4.59048e-06
0.426782,3.95563e-06
0.431382,3.76694e-06
0.43572,2.82162e-06
0.440281,2.93991e-06
0.444444,2.5537e-06
0.44995,1.24485e-06
0.453685,1.17966e-06
0.458491,4.6773e-07
0.46268,1.29121e-06
0.471623,2.9774e-06
0.47281,1.62657e-05
0.504154,1.72753e-05
0.532184,2.01917e-05
0.554642,6.44783e-06
0.561189,4.18778e-06
0.56357,8.28759e-06
0.567437,3.81165e-06
0.571072,5.80246e-07
0.572397,2.2845e-06
0.573488,2.51072e-06
0.576706,5.04501e-06
0.578924,6.69925e-06
0.586406,1.60835e-05
0.592234,4.67283e-06
0.595566,5.93832e-06
0.599276,5.34524e-06
0.602847,5.88029e-06
0.606375,6.12924e-06
0.609632,6.10201e-06
0.613101,6.68838e-06
0.616523,6.14811e-06
0.619609,6.28946e-06
0.62318,6.35512e-06
0.626401,5.74615e-06
0.629429,5.57911e-06
0.633155,5.65221e-06
0.636111,5.08421e-06
0.639347,5.25881e-06
0.64267,5.52406e-06
0.645544,4.46918e-06
0.649266,5.14642e-06
0.65214,2.72735e-06
0.655812,3.69229e-06
0.665137,3.44191e-05
0.676146,6.60763e-06
0.682494,7.46169e-06
0.70131,2.94943e-05
0.716019,6.70466e-06
0.718827,3.95123e-06
0.721573,5.80095e-06
0.724549,1.82909e-06
0.727067,3.53617e-06
0.7305,1.26773e-05
0.734003,1.52662e-05
0.737294,7.42574e-06
0.741708,8.32298e-06
0.745638,6.12459e-06
0.748184,6.39512e-06
0.750535,7.03178e-06
0.753316,6.71675e-06
0.755991,5.31058e-06
0.758482,6.34003e-06
0.76095,7.38468e-06
0.76343,1.85974e-06
0.766008,6.67664e-06
0.768919,1.07586e-05
0.775587,5.41564e-06
0.777514,4.71968e-06
0.784953,4.7272e-06
0.809733,4.47051e-05
0.843226,1.43127e-06
0.845337,1.21166e-06
0.847459,1.0641e-06
0.849303,6.43615e-06
0.855204,3.67935e-06
0.856414,1.02051e-05
0.859065,2.01398e-06
0.863082,4.47977e-06
0.865058,1.54544e-05
0.86978,9.50545e-06
0.875444,6.53945e-06
0.892487,3.3378e-05
0.897907,1.74564e-06
0.91044,1.23628e-05
0.915085,7.12647e-06
0.918557,8.40677e-06
0.921508,1.83819e-06
0.923323,2.64919e-06
0.925897,3.81908e-06
0.934605,3.58252e-05
0.949458,1.59411e-05
0.953867,8.86595e-07
0.963845,3.0891e-05
0.978733,1.0243e-05
0.984913,5.85895e-06
0.993783,3.09032e-05
1.0111,8.09085e-06
1.02025,2.21213e-05
1.02662,1.67344e-06
1.0353,1.12485e-05
1.04988,1.10635e-05
1.05806,1.3884e-05
1.07869,9.13746e-06
1.0922,6.39188e-06
1.10354,3.44916e-06
1.10463,7.85296e-07
1.11592,1.29841e-06
1.1242,2.78945e-05
1.13121,3.88307e-06
1.20213,8.99556e-06
1.20411,6.61701e-08
1.20642,3.79059e-08
1.20731,4.13113e-08
1.73434,0.00437833
1.84813,0.00811016
1.91337,0.0857208
1.9619,0.1107
1.98821,0.179547
2.0222,0.0652583
2.04439,0.471948
2.07015,0.0706911
2.11259,0.633369
2.12602,0.437301
2.15515,0.101049
2.18295,0.576253
2.20795,0.207861
2.24663,0.114135
2.25918,0.230353
2.27467,0.877405
2.32063,0.335732
2.34668,0.462285
2.36337,0.137084
2.38381,0.131794
2.40339,0.0842369
2.42828,0.219403
2.46791,0.137676
3.16146,1.20042e-07
3.16394,4.99361e-07
3.16415,4.72732e-07
3.16463,5.77719e-07
3.17093,8.62055e-09
3.67531,0.301803
3.69458,0.082429
3.71419,0.0297971
3.74326,0.580713
3.76314,0.16922
3.82104,0.353047
4.47369,9.23543e-07
4.47726,4.34488e-06
4.4973,3.71349e-06
4.50292,6.37509e-06
4.53358,1.00247e-05
4.5561,1.25001e-05
4.5748,9.19663e-06
4.58031,4.59896e-06
4.58161,9.40315e-07
4.58331,1.46508e-06
4.58716,3.64816e-06
4.58875,8.85478e-06
4.60025,1.84007e-05
4.61394,3.77652e-06
4.61991,1.71978e-05
4.62841,1.44844e-05
4.63175,4.00412e-06
4.63366,6.29809e-06
4.63559,5.95213e-06
4.63815,7.10674e-06
4.64023,6.88792e-06
4.64894,2.35743e-05
4.66178,2.52075e-05
4.66949,5.54598e-06
4.67164,7.78922e-06
4.67406,7.41781e-06
4.67653,7.5235e-06
4.6794,1.45325e-05
4.68347,7.71509e-06
4.68621,7.0984e-06
4.68997,2.00996e-05
4.69309,5.17018e-06
4.69514,5.84981e-06
4.69766,8.15544e-06
4.70063,9.40308e-06
4.70347,1.03137e-05
4.70556,7.63285e-06
4.70812,8.33597e-06
4.71071,8.60273e-06
4.71333,9.22838e-06
4.71581,9.49482e-06
4.71835,9.0024e-06
4.72099,9.04736e-06
4.7235,9.54244e-06
4.72602,7.13157e-06
4.72874,8.62566e-06
4.7317,9.68187e-06
4.73535,5.29109e-06
4.73678,8.60393e-06
4.74228,1.39747e-05
4.74705,5.89254e-06
4.74954,8.54986e-06
4.753,6.87398e-06
4.75565,6.65729e-06
4.75836,7.66962e-06
4.76147,7.55084e-06
4.76429,7.14387e-06
4.76692,7.56815e-06
4.7702,7.12414e-06
4.77314,6.37367e-06
4.77566,6.34831e-06
4.77909,6.86382e-06
4.78188,5.60663e-06
4.78527,5.11568e-06
4.78619,5.07599e-06
