PPM,Amp
-0.48756,1.00568e-08
-0.166839,3.45282e-09
0.0609707,3.23266e-08
0.233279,8.22955e-09
0.370052,6.87128e-09
0.481443,2.1655e-08
0.574777,2.6657e-08
0.654325,3.07939e-08
0.723848,4.98155e-07
0.783465,4.79222e-08
0.836827,5.24284e-08
0.885091,6.37401e-07
0.927087,5.28325e-07
0.966266,7.00371e-07
1.00247,6.71091e-07
1.03441,5.65353e-08
1.06462,6.54708e-07
1.09203,5.97598e-07
1.11943,6.12302e-07
1.14202,6.76434e-07
1.16393,7.59731e-07
1.18665,7.07613e-07
1.20483,6.79007e-07
1.22336,6.79381e-07
1.24118,6.29873e-07
1.25718,6.63894e-07
1.27308,7.28603e-07
1.28711,7.37259e-07
1.30201,6.7475e-07
1.31513,5.77386e-07
1.32793,5.57294e-07
1.3402,5.649e-07
1.35179,7.06249e-07
1.36311,6.73294e-07
1.37401,6.9909e-07
1.38419,6.76485e-07
1.3942,7.14931e-07
1.40358,6.87689e-07
1.41294,6.17996e-07
1.42182,6.07399e-07
1.43046,6.01978e-07
1.4385,6.08741e-07
1.4464,6.27201e-07
1.45418,6.27261e-07
1.4616,7.13826e-07
1.46884,6.05472e-07
1.47538,5.88195e-07
1.48243,5.89205e-07
1.48898,6.21292e-07
1.49532,6.26309e-07
1.50117,7.02913e-07
1.50741,6.73842e-07
1.51323,8.31713e-07
1.51873,9.09632e-07
1.52449,8.73066e-07
1.52971,9.57776e-07
1.53509,9.01225e-07
1.53986,9.77697e-07
1.54494,1.01287e-06
1.54979,1.02175e-06
1.55449,1.05227e-06
1.55907,1.07697e-06
1.56358,1.10114e-06
1.56795,1.12274e-06
1.57218,1.18456e-06
1.57641,1.25185e-06
1.58042,1.14416e-06
1.58428,1.36634e-06
1.58842,1.09812e-06
1.59203,1.38349e-06
1.59577,1.26723e-06
1.59945,1.23693e-06
1.60299,1.3098e-06
1.60652,1.2106e-06
1.60994,1.40231e-06
1.61352,1.30023e-06
1.61669,1.36339e-06
1.61985,1.37063e-06
1.62305,1.35633e-06
1.62612,1.25114e-06
1.62933,1.40274e-06
1.63224,1.02791e-06
1.63335,5.06514e-07
1.63513,1.09336e-06
1.63624,4.20809e-07
1.63803,1.19345e-06
1.64072,1.36073e-06
1.64363,1.32073e-06
1.64627,1.35861e-06
1.64907,1.14648e-06
1.6516,1.32153e-06
1.65437,9.29462e-07
1.65482,1.09184e-07
1.65668,1.15553e-06
1.65949,1.03081e-06
1.65968,5.08783e-07
1.66195,1.22026e-06
1.66444,1.27489e-06
1.66445,8.61659e-07
1.66667,1.45772e-06
1.66899,1.22373e-06
1.67123,1.15638e-06
1.67324,1.36528e-06
1.67555,1.15591e-06
1.67778,1.86673e-06
1.68028,1.22067e-06
1.68215,1.99346e-06
1.68445,1.43433e-06
1.68652,2.03106e-06
1.6885,2.00645e-06
1.69056,1.67956e-06
1.69251,2.23773e-06
1.69444,2.11615e-06
1.69637,2.2263e-06
1.69824,2.40216e-06
1.70008,2.29227e-06
1.70196,2.43702e-06
1.70382,2.48285e-06
1.70562,2.55833e-06
1.70742,2.66627e-06
1.70914,2.55202e-06
1.71082,2.73885e-06
1.71253,2.73475e-06
1.7142,2.87546e-06
1.71582,2.69352e-06
1.71745,2.92367e-06
1.7191,2.84998e-06
1.72068,2.77805e-06
1.72226,3.0732e-06
1.72385,2.62954e-06
1.72534,2.98107e-06
1.72683,2.59974e-06
1.72831,2.84168e-06
1.72983,2.86778e-06
1.73129,2.23592e-06
1.73266,3.03049e-06
1.73416,2.56628e-06
1.73545,2.35786e-06
1.73691,3.25949e-06
1.7384,1.94203e-06
1.73944,1.5059e-06
1.7399,2.11356e-06
1.7411,1.95603e-06
1.74217,1.15896e-06
1.74254,1.52087e-06
1.74373,2.26864e-06
1.74499,1.12901e-06
1.74683,2.7395e-06
1.75968,1.07485e-05
1.77405,9.94164e-06
1.77799,2.71219e-06
1.77806,2.01092e-06
1.78029,7.28879e-06
1.78118,5.77518e-06
1.7824,2.88478e-06
1.78399,7.63459e-06
1.78491,1.06143e-06
1.78574,1.75931e-06
1.78655,4.42855e-06
1.78728,2.77472e-06
1.78766,1.74659e-06
1.78823,2.93097e-06
1.78906,6.71572e-06
1.79011,4.30228e-06
1.79088,4.00771e-06
1.79168,4.58569e-06
1.79255,4.23144e-06
1.79336,5.82148e-06
1.79427,4.57968e-06
1.79507,3.92125e-06
1.79581,5.19508e-06
1.79664,4.653e-06
1.79737,3.63706e-06
1.79812,4.90205e-06
1.79888,4.57803e-06
1.79967,4.49788e-06
1.80045,3.03553e-06
1.80119,4.49756e-06
1.80197,4.44526e-06
1.80279,3.44005e-06
1.80346,2.98526e-06
1.80418,4.25464e-06
1.80492,3.93579e-06
1.80568,2.41862e-06
1.80641,5.00178e-06
1.80716,3.45261e-06
1.80767,2.81836e-06
1.80798,2.42595e-06
1.80838,3.18658e-06
1.80869,1.58502e-06
1.80907,2.42193e-06
1.80935,1.43433e-06
1.80985,1.93205e-06
1.81035,7.17313e-06
1.81049,1.13743e-06
1.81068,6.41508e-07
1.81248,1.89641e-06
1.81252,8.49348e-06
1.81322,5.01102e-06
1.81545,4.85905e-06
1.81677,1.66369e-06
1.81857,3.59619e-06
1.82121,1.39122e-05
1.82371,6.50745e-06
1.82536,5.17785e-06
1.82618,1.8512e-06
1.82624,2.24981e-06
1.82671,4.41522e-06
1.82755,8.1445e-06
1.82833,2.80282e-06
1.82897,5.56725e-06
1.82948,3.11783e-06
1.83026,8.36386e-06
1.83107,6.10236e-06
1.83162,3.85109e-06
