PPM,Amp
2.00872,0.100247
2.02282,0.220892
2.02523,0.161563
2.03878,0.412678
2.05256,0.551802
2.06643,0.349029
2.06928,0.53508
2.08342,0.333506
2.08587,0.291867
2.09585,0.261831
2.10158,0.430312
2.11128,0.44723
2.11672,0.37714
2.12642,0.364063
2.13117,0.234304
2.14085,0.206624
2.14665,0.147605
2.15619,0.130732
2.28997,0.0651765
2.30365,0.0969255
2.32178,0.818566
2.32617,0.830427
2.33559,0.91388
2.33749,0.976023
2.34136,1.00013
2.3429,0.942101
2.3514,0.638538
2.35808,0.654917
2.37494,0.0917153
2.38993,0.0515977
3.7358,0.706465
3.74551,0.769311
3.75002,0.768768
3.75969,0.706572
