ppm,val
-1.200879,-0.002581
-1.200512,-0.002592
-1.200146,-0.002604
-1.199779,-0.002622
-1.199412,-0.002642
-1.199046,-0.002659
-1.198679,-0.002666
-1.198312,-0.002655
-1.197946,-0.002628
-1.197579,-0.002589
-1.197212,-0.002549
-1.196846,-0.002515
-1.196479,-0.002494
-1.196112,-0.002485
-1.195746,-0.002482
-1.195379,-0.002480
-1.195012,-0.002476
-1.194646,-0.002465
-1.194279,-0.002448
-1.193912,-0.002423
-1.193546,-0.002389
-1.193179,-0.002347
-1.192812,-0.002298
-1.192446,-0.002246
-1.192079,-0.002193
-1.191712,-0.002141
-1.191345,-0.002091
-1.190979,-0.002040
-1.190612,-0.001986
-1.190245,-0.001927
-1.189879,-0.001863
-1.189512,-0.001800
-1.189145,-0.001744
-1.188779,-0.001699
-1.188412,-0.001664
-1.188045,-0.001634
-1.187679,-0.001603
-1.187312,-0.001569
-1.186945,-0.001533
-1.186579,-0.001504
-1.186212,-0.001487
-1.185845,-0.001486
-1.185479,-0.001500
-1.185112,-0.001522
-1.184745,-0.001545
-1.184379,-0.001567
-1.184012,-0.001588
-1.183645,-0.001611
-1.183279,-0.001636
-1.182912,-0.001665
-1.182545,-0.001695
-1.182178,-0.001727
-1.181812,-0.001759
-1.181445,-0.001789
-1.181078,-0.001812
-1.180712,-0.001826
-1.180345,-0.001829
-1.179978,-0.001823
-1.179612,-0.001817
-1.179245,-0.001815
-1.178878,-0.001825
-1.178512,-0.001852
-1.178145,-0.001894
-1.177778,-0.001951
-1.177412,-0.002017
-1.177045,-0.002087
-1.176678,-0.002156
-1.176312,-0.002224
-1.175945,-0.002291
-1.175578,-0.002359
-1.175212,-0.002431
-1.174845,-0.002505
-1.174478,-0.002574
-1.174112,-0.002629
-1.173745,-0.002664
-1.173378,-0.002671
-1.173012,-0.002652
-1.172645,-0.002611
-1.172278,-0.002556
-1.171911,-0.002497
-1.171545,-0.002439
-1.171178,-0.002385
-1.170811,-0.002335
-1.170445,-0.002289
-1.170078,-0.002246
-1.169711,-0.002210
