PPM,Amp
2.09879,0.0553263
2.1044,0.115584
2.11128,0.139322
2.11386,0.273107
2.11951,0.605349
2.12087,0.578271
2.12617,1.00008
2.13206,0.653689
2.13737,0.333966
2.1407,0.111133
2.14353,0.0948065
2.14572,0.074464
2.14768,0.0920797
2.1525,0.0519204
2.41331,0.199766
2.41835,0.244899
2.42013,0.248941
2.42439,0.515859
2.42937,0.492205
2.431,0.496414
2.43615,0.404638
2.44334,0.304714
2.4441,0.307495
2.45001,0.568506
2.45563,0.401152
2.46088,0.28352
2.46685,0.145476
3.75578,0.462765
3.76,0.796763
3.76421,0.463707
