PPM,Amp
-0.941834,9.10462e-08
-0.937193,2.1087e-07
-0.82276,2.95384e-09
-0.817997,4.76818e-07
-0.709698,2.66027e-07
-0.610288,8.95805e-08
-0.606235,2.88503e-07
-0.519933,5.11017e-07
-0.439116,1.34124e-07
-0.434452,5.82858e-07
-0.364617,1.16836e-07
-0.36029,5.37429e-07
-0.295781,1.09273e-07
-0.29167,5.64066e-07
-0.231905,1.4813e-07
-0.227343,4.86652e-07
-0.172592,1.58046e-07
-0.168522,3.37919e-07
-0.117409,1.19672e-07
-0.11427,3.02762e-07
-0.0651406,5.03257e-07
-0.0175677,1.8289e-07
-0.0136953,4.99271e-07
0.0278758,1.9891e-07
0.0315336,4.71825e-07
0.073351,5.43606e-07
0.112226,5.37036e-07
0.150774,5.7972e-07
0.185468,2.14074e-07
0.18924,5.42982e-07
0.22013,2.0922e-07
0.223468,4.93727e-07
0.254201,5.71785e-07
0.284856,2.099e-07
0.287939,4.47937e-07
0.315375,5.75442e-07
0.343073,6.06137e-07
0.363207,4.66972e-08
0.36964,5.7699e-07
0.397625,6.31782e-07
0.421733,4.68305e-07
0.425779,5.38884e-07
0.445162,8.46811e-07
0.468053,8.41958e-07
0.490742,8.70655e-07
0.513091,5.60364e-07
0.517491,3.9476e-07
0.533912,7.95961e-07
0.554417,8.68928e-07
0.572793,6.4141e-07
0.578055,3.21082e-07
0.59154,5.71021e-07
0.596025,3.07873e-07
0.609866,5.9216e-07
0.614113,2.16562e-07
0.627671,6.53451e-07
0.629631,5.60929e-07
0.644303,6.48132e-07
0.648602,2.25593e-07
0.661544,8.11665e-07
0.677157,7.279e-07
0.681951,3.71622e-07
0.692066,8.3045e-07
0.696198,3.2784e-07
0.708341,1.27938e-06
0.721694,9.20247e-07
0.725167,5.88561e-07
0.735866,1.44348e-06
0.749129,9.83923e-07
0.754287,8.50866e-07
0.763232,9.79143e-07
0.76677,4.13776e-07
0.77636,1.39862e-06
0.789328,1.33964e-06
0.794078,1.40375e-07
0.801772,1.69136e-06
0.813505,1.23799e-06
0.817667,3.13431e-07
0.819001,1.47646e-07
0.824727,1.35809e-06
0.835829,1.71861e-06
0.847837,1.37947e-06
0.852016,2.93035e-07
0.852598,6.76856e-07
0.858404,1.5434e-06
0.863126,6.66646e-07
0.869557,1.53471e-06
0.873444,5.02487e-07
0.880578,1.74416e-06
0.88533,4.16925e-07
0.890482,1.5528e-06
0.894554,7.31935e-07
0.900902,1.67957e-06
0.909944,1.64851e-06
0.919549,1.61944e-06
0.928736,1.41971e-06
0.932816,3.28112e-07
0.938196,1.1622e-06
0.941768,4.79947e-07
0.947619,9.53312e-07
0.950281,3.1319e-07
