PPM,Amp
-0.849737,1.55551e-06
-0.683997,3.55881e-07
-0.542656,2.12268e-07
-0.42128,5.19201e-07
-0.312544,2.8621e-07
-0.218118,4.3969e-07
-0.132521,5.07117e-07
-0.0551552,5.54111e-07
0.0152978,4.88635e-07
0.0803333,5.12638e-07
0.138556,5.10477e-07
0.193083,4.8293e-07
0.243495,4.49471e-07
0.291853,7.22703e-07
0.334449,7.08236e-07
0.375338,5.99499e-07
0.414652,6.79076e-07
0.450294,4.90995e-07
0.485063,5.07743e-07
0.517223,5.59502e-07
0.547252,6.43623e-07
0.576067,4.51841e-07
0.602896,5.71056e-07
0.630222,6.16573e-07
0.654821,3.52942e-07
0.658364,4.44012e-07
0.679531,7.93726e-07
0.701153,7.57571e-07
0.723661,7.00203e-07
0.74582,7.64313e-07
0.76581,7.12591e-07
0.784437,5.93114e-07
0.802972,5.95132e-07
0.820902,5.91247e-07
0.838135,6.01592e-07
0.854807,6.016e-07
0.870895,6.31941e-07
0.886478,7.18429e-07
0.901795,6.39037e-07
0.916025,5.81304e-07
0.93002,5.4761e-07
0.943521,5.67585e-07
0.956545,6.08057e-07
0.969346,6.11995e-07
0.981657,6.36672e-07
0.993542,7.8068e-07
1.00494,9.40157e-07
1.01665,6.3249e-07
1.01958,3.30011e-07
1.02828,8.43176e-07
1.03887,7.9635e-07
1.04936,8.0496e-07
1.05945,8.33413e-07
1.06968,7.96907e-07
1.07941,8.28246e-07
1.08886,7.8246e-07
1.09774,8.06472e-07
1.1068,8.26059e-07
1.11565,8.50142e-07
1.12428,8.62861e-07
1.1326,8.87534e-07
1.14104,8.7983e-07
1.14915,8.60846e-07
1.15705,8.34016e-07
1.16434,8.84826e-07
1.17184,8.32309e-07
1.17946,8.48141e-07
1.1865,8.12636e-07
1.19326,8.33605e-07
1.20013,8.67972e-07
1.20693,7.64173e-07
1.2132,9.67258e-07
1.22015,7.55206e-07
1.22607,9.04703e-07
1.22772,2.21225e-08
1.23288,7.1035e-07
1.23397,3.26606e-07
1.23877,7.19843e-07
1.24104,1.74414e-07
1.24428,4.19129e-07
1.24566,4.63624e-07
1.25038,4.59373e-07
1.25145,4.84489e-07
1.25637,6.86464e-07
1.25678,2.46711e-07
1.26225,6.32652e-07
1.26518,9.17255e-07
1.27306,6.56109e-07
1.27871,1.4978e-06
1.284,1.73915e-06
1.28894,1.90001e-06
1.29432,1.76756e-06
1.29946,1.84994e-06
1.30427,1.80638e-06
1.30909,2.04524e-06
1.31394,2.05499e-06
1.31877,2.27344e-06
1.32342,2.12566e-06
1.32787,2.24067e-06
1.33233,2.29347e-06
1.33679,2.2229e-06
1.34109,2.31304e-06
1.34536,2.33828e-06
1.3497,2.32481e-06
1.35378,2.1947e-06
1.35767,2.20091e-06
1.36174,2.34761e-06
1.36573,2.21379e-06
1.36965,2.33853e-06
1.37341,2.25396e-06
1.37725,2.45843e-06
1.38099,2.1513e-06
1.38468,2.34647e-06
1.38831,2.00258e-06
1.39197,2.20037e-06
1.39551,1.67049e-06
1.3991,2.0113e-06
1.40261,1.36834e-06
1.40594,1.54804e-06
1.4095,1.02171e-06
1.4125,1.40067e-06
1.4127,1.69146e-06
1.41607,7.34279e-07
1.41677,1.09972e-06
1.41926,5.70687e-07
1.42233,9.44968e-07
1.4258,8.22989e-07
1.42796,2.79855e-06
1.42903,8.04622e-07
1.43198,6.29958e-07
1.43594,1.37708e-06
1.44381,2.59273e-06
1.45252,2.04063e-07
1.45258,3.97762e-07
1.45615,1.86279e-06
1.46452,5.06236e-06
1.47457,2.98425e-06
1.4801,1.4305e-06
1.48511,1.63642e-06
1.49408,1.15543e-05
1.50723,2.90452e-06
1.50991,1.73773e-06
1.511,1.88034e-07
1.51304,2.07654e-06
1.5147,1.81465e-06
1.51714,9.21553e-07
1.51902,9.26863e-07
1.52052,6.36319e-06
1.52129,1.68346e-06
1.52347,1.5541e-06
1.52541,2.4546e-06
1.52736,3.61218e-06
1.52915,3.19231e-06
1.52925,8.94286e-07
1.53142,4.62837e-06
1.53361,4.00841e-06
1.53552,4.64867e-06
1.53748,4.99241e-06
1.53944,4.81724e-06
1.54133,4.96527e-06
1.54322,5.11455e-06
1.54512,4.88994e-06
1.547,5.09848e-06
1.54889,5.05816e-06
1.55052,4.54879e-06
1.55235,4.78075e-06
1.55417,4.46843e-06
1.556,5.45868e-06
1.55784,3.59546e-06
1.55956,5.07407e-06
1.56139,3.33897e-06
1.56292,3.78432e-06
1.56467,4.12725e-06
1.5663,4.22042e-06
1.56937,5.10494e-06
1.57819,1.7388e-05
1.58826,5.23792e-06
1.5912,9.68766e-06
1.59412,6.1581e-06
1.59635,1.10398e-05
1.60213,1.50488e-05
1.60628,1.36546e-06
1.60785,5.98356e-06
1.61008,4.76102e-06
1.61028,1.00398e-06
1.6118,1.61724e-06
1.61361,7.93947e-06
1.61367,1.14172e-05
1.61646,6.38985e-06
1.61835,3.9886e-06
1.61969,5.61711e-06
1.62108,5.88283e-06
1.62238,5.55547e-06
1.62365,5.37545e-06
1.62484,4.60394e-06
1.62614,5.23355e-06
1.62741,3.25697e-06
1.62868,4.29446e-06
1.63151,8.33463e-06
1.6322,5.29853e-06
1.64559,1.85894e-05
1.66128,1.57068e-05
1.66721,1.38364e-05
1.68157,2.54879e-05
1.70632,1.25198e-05
1.71283,4.62977e-06
1.71687,5.14166e-06
1.72172,4.23148e-06
1.72401,2.21484e-06
1.72509,4.18297e-06
1.72636,4.02994e-07
1.72795,5.10071e-07
1.72988,1.1293e-06
1.73009,4.29413e-07
1.73112,4.54438e-07
1.73596,1.14155e-06
1.74289,4.32091e-05
1.77329,2.48057e-05
1.78574,3.21991e-06
1.79124,1.09964e-05
1.79607,9.86592e-06
1.7994,6.22765e-06
1.80338,1.16589e-05
1.80866,5.74238e-06
1.81282,6.78863e-06
1.81867,6.87946e-06
1.82329,3.15088e-05
1.83831,2.31493e-06
1.84793,3.6595e-06
1.86314,1.68969e-05
1.864,1.36203e-05
2.0467,0.00813221
2.06634,0.0176827
2.08449,0.00736071
2.09554,0.204776
2.10068,0.221778
2.11544,0.928833
2.12223,0.213311
2.13174,0.689841
2.13744,0.734753
2.15293,0.56994
2.16993,0.0150191
2.18446,0.00795134
2.18775,0.00829461
2.20183,0.00384195
2.28243,1.01455e-07
2.38113,0.0626148
2.39835,0.0629279
2.40274,0.0421888
2.41656,0.497122
2.4249,0.422481
2.43624,0.769063
2.44529,0.579782
2.45435,0.461857
2.46466,0.208947
2.46805,0.178553
2.4812,0.0846076
2.49996,0.0199606
2.50341,0.027706
2.73252,3.80944e-05
2.74269,3.8494e-06
2.74691,6.74854e-06
2.75344,1.21067e-05
2.75791,1.75563e-06
2.76226,1.58257e-05
2.76818,2.59695e-06
2.77527,2.81781e-05
2.77855,4.07836e-06
2.78524,9.12456e-06
2.78643,2.63592e-06
2.78772,5.23704e-06
2.7902,5.45726e-06
2.79275,2.376e-05
2.79705,4.8918e-07
2.79849,1.63671e-05
2.80158,1.31326e-05
2.805,3.2138e-06
2.80865,2.43709e-05
2.81953,3.61662e-05
2.82796,3.53121e-06
2.82939,2.85213e-06
2.83066,3.53353e-06
2.83067,3.26703e-06
2.83384,2.0009e-05
2.83501,7.09334e-07
2.83642,2.26413e-06
2.83869,1.62811e-05
2.84075,4.62481e-06
2.84141,2.94049e-06
2.84226,3.10159e-06
2.84341,1.26463e-05
2.84501,3.98694e-06
2.84684,1.97462e-05
2.84971,1.57031e-05
2.85091,5.11117e-06
2.85151,2.46998e-06
2.85228,4.75949e-06
2.85306,7.20531e-06
2.8539,5.8634e-06
2.85604,1.79104e-05
2.85817,3.12804e-06
2.85896,5.27005e-06
2.85975,5.76642e-06
2.86177,1.47538e-05
2.86605,1.81535e-05
2.86938,1.06821e-05
2.8703,1.94493e-06
2.87101,3.00783e-06
2.87168,2.66348e-06
2.87279,5.7928e-06
2.87466,1.60454e-05
2.87769,1.03349e-05
2.8793,5.65619e-06
2.87962,4.04748e-06
2.8811,7.67263e-06
2.88187,6.79026e-06
2.8825,4.58881e-06
2.8834,6.89007e-06
2.88442,8.69531e-06
2.88529,5.86811e-06
2.8862,5.59059e-06
2.8872,8.41445e-06
2.88837,5.77802e-06
2.88993,3.85951e-06
2.89135,1.68869e-05
2.89329,5.45539e-06
2.89416,2.83983e-06
2.89498,1.91588e-06
2.89583,4.01478e-06
2.8987,2.08027e-05
2.90214,5.83168e-06
2.90328,5.61713e-06
2.90462,6.86209e-06
2.90568,5.26796e-06
2.90683,6.99564e-06
2.90789,5.98475e-06
2.90897,6.20904e-06
2.91015,5.90035e-06
2.91218,1.44864e-05
2.91442,7.13008e-06
2.91585,8.48398e-06
2.91703,6.76383e-06
2.91776,4.26443e-06
2.91822,3.94438e-06
2.9192,6.97386e-06
2.92043,7.61271e-06
2.92186,8.69932e-06
2.92312,7.54038e-06
2.92438,7.80054e-06
2.92565,6.26981e-06
2.92686,7.74496e-06
2.92808,8.22676e-06
2.92938,7.98863e-06
2.93066,7.66204e-06
2.93196,8.20029e-06
2.93327,6.26308e-06
2.9345,6.48702e-06
2.93585,5.37791e-06
2.93723,7.05526e-06
2.93772,3.10475e-06
2.93947,7.42099e-06
2.94128,2.57963e-06
2.94278,3.2446e-06
2.94376,9.79162e-06
2.94724,9.58098e-06
2.94952,5.19898e-06
2.95121,4.95936e-06
2.95269,5.7476e-06
2.95426,5.68871e-06
2.9557,5.84106e-06
2.95743,5.50972e-06
2.95877,5.66657e-06
2.96034,5.42032e-06
2.96189,5.39748e-06
2.96348,4.73533e-06
2.96563,8.68219e-06
2.96788,4.67401e-06
2.96848,1.87642e-06
2.96948,2.48901e-06
2.9701,2.38631e-06
2.97089,2.47448e-06
2.97163,2.44e-06
2.97259,2.45364e-06
2.97353,3.05298e-06
2.97483,3.77121e-06
2.97695,5.29889e-06
2.97866,4.2441e-06
2.97888,3.22367e-06
2.98065,4.74148e-06
2.98239,4.53122e-06
2.98415,5.15499e-06
2.98597,5.21173e-06
2.98779,5.58449e-06
2.98967,5.54944e-06
2.99157,5.21973e-06
2.99353,5.33571e-06
2.99547,4.53795e-06
2.99749,4.90603e-06
2.99955,4.08561e-06
3.00148,3.57334e-06
3.00344,3.28635e-06
3.00534,1.74123e-06
3.00683,9.62994e-07
3.00782,9.06973e-07
3.01043,1.14507e-06
3.01472,9.50703e-06
3.02027,4.18527e-06
3.02543,2.80941e-06
3.02858,2.24274e-06
3.03096,1.98064e-06
3.03356,3.40894e-06
3.03594,2.6977e-06
3.03857,2.95758e-06
3.04117,2.69323e-06
3.04408,3.01664e-06
3.04692,2.79609e-06
3.04987,2.95139e-06
3.05265,2.86795e-06
3.0555,3.06128e-06
3.05788,2.6999e-06
3.05869,1.5806e-06
3.06023,1.74836e-06
3.06153,2.21498e-06
3.06345,1.93534e-06
3.06489,2.43757e-06
3.06714,1.46412e-06
3.06888,2.25506e-06
3.07229,3.58223e-06
3.07566,2.39327e-06
3.07878,2.50164e-06
3.08235,2.97085e-06
3.08627,3.33372e-06
3.09013,2.62031e-06
3.09398,2.86798e-06
3.09809,2.48575e-06
3.10234,2.48361e-06
3.10704,2.41258e-06
3.11185,1.99721e-06
3.11682,2.14673e-06
3.12208,1.4098e-06
3.12635,6.45196e-07
3.12722,6.65726e-07
3.12787,5.26871e-07
3.13234,5.303e-07
3.13458,1.3991e-06
3.14011,9.44513e-07
3.14555,5.17594e-07
3.14826,9.07637e-07
3.15671,1.2624e-06
3.16611,9.44483e-07
3.17888,6.17707e-07
3.23739,5.72123e-07
3.24009,3.23177e-07
3.24993,1.15511e-06
3.26007,8.06646e-07
3.267,9.68478e-07
3.27384,1.14114e-06
3.27433,1.14017e-05
3.28045,1.22695e-06
3.28559,2.04605e-06
3.2904,2.11165e-06
3.29499,2.2794e-06
3.29926,2.43642e-06
3.30332,2.50951e-06
3.30696,2.12585e-06
3.31053,2.79167e-06
3.31409,1.28449e-06
3.31733,1.56225e-06
3.32101,4.52379e-07
3.32467,1.59016e-06
3.32582,5.59329e-06
3.33398,9.59731e-07
3.33613,2.03201e-06
3.34084,2.19493e-06
3.34699,8.64767e-06
3.35273,1.13844e-06
3.3549,1.13408e-06
3.35616,2.80274e-06
3.35716,4.1466e-06
3.35747,1.45263e-06
3.35932,8.90638e-07
3.36117,3.78552e-06
3.36335,3.53653e-06
3.36528,3.88965e-06
3.3672,4.37107e-06
3.36907,4.46288e-06
3.37083,4.51752e-06
3.37279,3.04689e-06
3.37445,2.97253e-06
3.37635,4.3701e-06
3.37796,2.17868e-06
3.37976,1.17084e-06
3.38123,1.11191e-06
3.38136,1.52682e-06
3.38167,4.59505e-06
3.38464,4.01002e-06
3.38675,2.6537e-06
3.38943,6.55202e-06
3.39522,8.81513e-06
3.39779,1.51299e-06
3.39783,4.7966e-07
3.3995,1.82025e-06
3.40066,1.09692e-06
3.40208,9.93191e-06
3.40446,3.47089e-06
3.40568,3.51668e-06
3.40684,3.67346e-06
3.40803,5.04575e-06
3.40939,2.75593e-06
3.41057,2.07466e-06
3.41207,9.62025e-06
3.42028,1.4752e-05
3.42514,7.2397e-08
3.4273,1.00074e-06
3.4303,8.92451e-06
3.43154,3.60551e-06
3.43348,3.30144e-06
3.43432,1.17468e-06
3.43514,3.83407e-06
3.43694,6.04781e-06
3.43968,3.55759e-06
3.44063,4.15076e-06
3.44211,2.98398e-06
3.44299,3.75777e-06
3.44381,3.01315e-06
3.44543,2.34541e-06
3.44941,7.93058e-06
3.45049,3.06273e-06
3.45068,1.24219e-06
3.45141,1.37527e-06
3.45243,2.06708e-06
3.45361,1.72863e-06
3.45486,4.12041e-06
3.45609,2.87947e-06
3.45715,2.28533e-06
3.45835,2.78892e-06
3.45905,1.50661e-06
3.46062,5.8004e-06
3.4622,1.904e-06
3.46353,3.36019e-06
3.46696,6.73752e-06
3.4672,3.68293e-06
3.46931,3.85598e-06
3.47082,1.8693e-06
3.47325,3.37074e-06
3.47434,9.91261e-06
3.47755,3.69709e-06
3.47811,2.61177e-06
3.47999,4.5834e-06
3.4813,1.8881e-06
3.48281,4.7829e-06
3.48619,8.79992e-06
3.49482,1.36325e-05
3.50901,6.07193e-06
3.51672,4.88454e-06
3.54005,1.59396e-05
3.74326,0.238263
3.74669,0.248526
3.76006,0.809914
3.77328,0.219968
3.77678,0.261616
3.96229,1.05903e-07
3.99506,7.11991e-06
4.00018,4.40444e-06
4.00654,1.66757e-06
4.00908,2.25505e-06
4.0122,2.8295e-06
4.01569,5.81005e-06
4.01944,2.32392e-06
4.01972,2.31918e-06
4.02452,4.71891e-06
4.02501,4.58161e-06
4.02933,4.19484e-06
4.03301,3.94e-06
4.03374,3.50453e-06
4.03504,2.05739e-07
4.03895,7.12935e-06
4.04003,2.09237e-06
4.04441,2.83121e-06
4.05115,1.40489e-05
4.05681,7.19433e-07
4.0588,2.29557e-06
4.0621,3.80182e-06
4.06405,3.2036e-06
4.06683,2.33016e-06
4.06916,3.53736e-06
4.07305,3.20569e-06
4.07439,2.11014e-07
4.07473,9.14989e-06
4.07488,9.74122e-07
4.0766,6.40476e-07
4.07724,1.6303e-06
4.07818,1.67787e-06
4.07987,3.32259e-07
4.08078,1.55056e-06
4.08231,3.91494e-06
4.08593,4.95072e-06
4.08692,1.0157e-06
4.09018,8.13213e-06
4.09331,3.1182e-06
4.09468,4.70878e-06
4.09474,6.47608e-07
4.09531,9.99809e-07
4.0968,5.40919e-06
4.09835,2.99711e-06
4.09909,3.40107e-06
4.09994,1.92833e-06
4.10091,2.91391e-06
4.10184,3.45405e-06
4.1042,1.75686e-06
4.10581,1.09213e-05
4.11113,7.50396e-06
4.11371,2.39882e-06
4.11434,3.04674e-06
4.11768,9.75712e-06
4.12025,4.50905e-06
4.12144,3.79963e-06
4.1227,3.54215e-06
4.12449,1.08979e-05
4.12607,3.6128e-06
4.12689,3.55926e-06
4.12812,6.40825e-06
4.12973,5.81253e-06
4.13108,6.93907e-06
4.13224,4.27335e-06
4.13343,6.01329e-06
4.13452,5.02382e-06
4.13585,6.21515e-06
4.13726,6.30864e-06
4.1385,5.48682e-06
4.13974,6.52719e-06
4.14102,5.37734e-06
4.14228,5.30962e-06
4.14358,5.0327e-06
4.14518,5.43491e-06
4.14796,4.50128e-06
4.14826,3.50372e-06
4.15349,1.231e-05
4.15792,2.82493e-06
4.15931,3.53244e-06
4.16097,4.14272e-06
4.16239,4.09299e-06
4.16389,3.87272e-06
4.1656,3.42277e-06
4.16715,4.12177e-06
4.16881,4.05644e-06
4.17028,1.42005e-06
4.17046,4.03941e-06
4.17187,3.08553e-06
4.1728,1.85895e-06
4.17346,2.063e-06
4.17441,2.21561e-06
4.17528,2.45699e-06
4.17689,2.97715e-06
4.17879,3.54264e-06
4.1801,4.01163e-06
4.1803,1.23132e-06
4.18225,3.7485e-06
4.184,2.89566e-06
4.18567,3.30473e-06
4.18746,3.96066e-06
4.18936,4.37722e-06
4.19125,4.1879e-06
4.19312,3.9706e-06
4.19498,3.89475e-06
4.19704,4.08458e-06
4.19895,3.82295e-06
4.20093,3.70393e-06
4.20288,3.54905e-06
4.2049,3.12704e-06
