SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00024-100mm-d2o-11-8-10/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 503 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.335e+00     1.103e-01  
T     =       2.624s       11.019s  

RSS   =    1.622e-03
SD    =    7.352e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.013e+00     1.289e-02
    2       2.000s     7.461e-01     7.151e-01    -3.100e-02
    3       3.000s     5.043e-01     5.096e-01     5.365e-03
    4       4.000s     3.504e-01     3.675e-01     1.706e-02
    5       5.000s     2.658e-01     2.687e-01     2.899e-03
    6       6.000s     2.021e-01     1.997e-01    -2.418e-03
    7       7.000s     1.474e-01     1.511e-01     3.728e-03
    8       8.000s     1.136e-01     1.167e-01     3.089e-03
    9       9.000s     9.658e-02     9.198e-02    -4.597e-03
   10      10.000s     8.008e-02     7.405e-02    -6.026e-03
   11      11.000s     6.209e-02     6.083e-02    -1.266e-03
   12      12.000s     5.181e-02     5.091e-02    -8.988e-04
   13      13.000s     4.815e-02     4.332e-02    -4.835e-03
   14      14.000s     4.159e-02     3.739e-02    -4.198e-03
   15      15.000s     3.176e-02     3.267e-02     9.082e-04
   16      16.000s     2.640e-02     2.882e-02     2.420e-03
   17      17.000s     2.590e-02     2.563e-02    -2.705e-04
   18      18.000s     2.340e-02     2.294e-02    -4.576e-04
   19      19.000s     1.809e-02     2.063e-02     2.540e-03
   20      20.000s     1.564e-02     1.862e-02     2.975e-03
   21      21.000s     1.657e-02     1.685e-02     2.802e-04
   22      22.000s     1.560e-02     1.529e-02    -3.155e-04
   23      23.000s     1.203e-02     1.389e-02     1.865e-03
   24      24.000s     1.049e-02     1.264e-02     2.150e-03
   25      25.000s     1.163e-02     1.151e-02    -1.206e-04
   26      26.000s     1.115e-02     1.049e-02    -6.633e-04
   27      27.000s     8.347e-03     9.562e-03     1.215e-03
   28      28.000s     7.170e-03     8.722e-03     1.552e-03
   29      29.000s     8.367e-03     7.958e-03    -4.087e-04
   30      30.000s     8.280e-03     7.263e-03    -1.017e-03

============================================================

