SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00024-100mm-d2o-11-8-10/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 507 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    2.939e-01     9.262e-01  
T     =       2.040s        8.520s  

RSS   =    2.547e-03
SD    =    9.213e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.004e+00     3.658e-03
    2       2.000s     8.487e-01     8.427e-01    -5.968e-03
    3       3.000s     7.231e-01     7.189e-01    -4.232e-03
    4       4.000s     6.190e-01     6.206e-01     1.588e-03
    5       5.000s     5.334e-01     5.404e-01     6.950e-03
    6       6.000s     4.713e-01     4.735e-01     2.203e-03
    7       7.000s     4.226e-01     4.168e-01    -5.814e-03
    8       8.000s     3.694e-01     3.680e-01    -1.365e-03
    9       9.000s     3.131e-01     3.256e-01     1.258e-02
   10      10.000s     2.712e-01     2.886e-01     1.738e-02
   11      11.000s     2.488e-01     2.560e-01     7.267e-03
   12      12.000s     2.324e-01     2.273e-01    -5.057e-03
   13      13.000s     2.125e-01     2.019e-01    -1.063e-02
   14      14.000s     1.930e-01     1.794e-01    -1.362e-02
   15      15.000s     1.767e-01     1.595e-01    -1.725e-02
   16      16.000s     1.586e-01     1.417e-01    -1.686e-02
   17      17.000s     1.369e-01     1.260e-01    -1.088e-02
   18      18.000s     1.174e-01     1.120e-01    -5.370e-03
   19      19.000s     1.032e-01     9.962e-02    -3.608e-03
   20      20.000s     9.005e-02     8.858e-02    -1.474e-03
   21      21.000s     7.548e-02     7.877e-02     3.286e-03
   22      22.000s     6.333e-02     7.004e-02     6.710e-03
   23      23.000s     5.549e-02     6.228e-02     6.792e-03
   24      24.000s     4.804e-02     5.538e-02     7.350e-03
   25      25.000s     3.890e-02     4.925e-02     1.035e-02
   26      26.000s     3.165e-02     4.380e-02     1.215e-02
   27      27.000s     2.833e-02     3.895e-02     1.062e-02
   28      28.000s     2.552e-02     3.463e-02     9.108e-03
   29      29.000s     2.092e-02     3.080e-02     9.873e-03
   30      30.000s     1.724e-02     2.739e-02     1.015e-02

============================================================

