ppm,val
-1.616114,-0.000456
-1.615717,-0.000456
-1.615321,-0.000459
-1.614924,-0.000462
-1.614528,-0.000465
-1.614131,-0.000467
-1.613735,-0.000469
-1.613338,-0.000471
-1.612942,-0.000470
-1.612546,-0.000468
-1.612149,-0.000465
-1.611753,-0.000461
-1.611356,-0.000457
-1.610960,-0.000454
-1.610563,-0.000452
-1.610167,-0.000452
-1.609770,-0.000452
-1.609374,-0.000450
-1.608977,-0.000448
-1.608581,-0.000447
-1.608185,-0.000447
-1.607788,-0.000449
-1.607392,-0.000453
-1.606995,-0.000457
-1.606599,-0.000460
-1.606202,-0.000460
-1.605806,-0.000459
-1.605409,-0.000458
-1.605013,-0.000456
-1.604616,-0.000454
-1.604220,-0.000453
-1.603823,-0.000453
-1.603427,-0.000453
-1.603031,-0.000454
-1.602634,-0.000456
-1.602238,-0.000458
-1.601841,-0.000458
-1.601445,-0.000458
-1.601048,-0.000458
-1.600652,-0.000459
-1.600255,-0.000459
-1.599859,-0.000458
-1.599462,-0.000457
-1.599066,-0.000455
-1.598670,-0.000453
-1.598273,-0.000453
-1.597877,-0.000455
-1.597480,-0.000456
-1.597084,-0.000455
-1.596687,-0.000452
-1.596291,-0.000451
-1.595894,-0.000452
-1.595498,-0.000451
-1.595101,-0.000449
-1.594705,-0.000446
-1.594308,-0.000443
-1.593912,-0.000442
-1.593516,-0.000441
-1.593119,-0.000441
-1.592723,-0.000443
-1.592326,-0.000446
-1.591930,-0.000448
-1.591533,-0.000451
-1.591137,-0.000452
-1.590740,-0.000451
-1.590344,-0.000448
-1.589947,-0.000446
-1.589551,-0.000445
-1.589154,-0.000446
-1.588758,-0.000448
-1.588362,-0.000451
-1.587965,-0.000456
-1.587569,-0.000460
-1.587172,-0.000461
-1.586776,-0.000461
-1.586379,-0.000461
-1.585983,-0.000460
-1.585586,-0.000458
-1.585190,-0.000456
-1.584793,-0.000456
-1.584397,-0.000456
-1.584001,-0.000456
-1.583604,-0.000456
-1.583208,-0.000457
-1.582811,-0.000459
-1.582415,-0.000461
-1.582018,-0.000462
-1.581622,-0.000462
-1.581225,-0.000461
-1.580829,-0.000460
-1.580432,-0.000458
-1.580036,-0.000457
-1.579639,-0.000455
-1.579243,-0.000451
