PPM,Amp
2.98456,4.26702e-09
3.0704,4.29949e-08
3.12585,3.97388e-08
3.16602,3.53127e-07
3.19541,4.64736e-07
3.22027,4.32308e-07
3.23951,5.23006e-07
3.25617,5.32793e-07
3.26991,3.93357e-07
3.28254,5.20853e-07
3.29331,5.74732e-07
3.3027,5.96557e-07
3.31075,5.92752e-07
3.31837,6.02715e-07
3.32534,5.9303e-07
3.33184,5.47619e-07
3.33758,6.92205e-07
3.34307,6.1829e-07
3.34823,6.71936e-07
3.35255,6.88878e-07
3.35704,6.10028e-07
3.36115,6.84149e-07
3.36474,6.5711e-07
3.36812,5.72646e-07
3.37153,5.17278e-07
3.37471,4.44235e-07
3.3748,2.74305e-07
3.37768,5.14048e-07
3.38041,7.25733e-07
3.38317,6.80187e-07
3.38582,7.71442e-07
3.38833,6.73028e-07
3.39058,7.78114e-07
3.39293,6.19261e-07
3.39499,7.69463e-07
3.39718,6.45275e-07
3.39902,7.08498e-07
3.40079,6.28426e-07
3.40268,6.60876e-07
3.40452,6.71384e-07
3.40625,7.06112e-07
3.40794,6.26942e-07
3.40941,6.98986e-07
3.41089,7.05086e-07
3.41151,1.71215e-07
3.41245,4.91326e-07
3.4137,5.92616e-07
3.41517,9.01839e-07
3.41648,7.35935e-07
3.4179,3.16841e-07
3.41895,1.0031e-06
3.42031,5.27709e-07
3.42139,7.33581e-07
3.42262,9.03035e-07
3.42377,6.34382e-07
3.42488,1.13221e-06
3.42591,8.88075e-07
3.42695,1.38459e-06
3.42797,7.92011e-07
3.4289,1.74416e-06
3.42995,1.32042e-06
3.43084,1.75823e-06
3.43174,1.71418e-06
3.43265,2.00317e-06
3.43352,1.769e-06
3.43431,1.74402e-06
3.43511,1.91572e-06
3.43589,1.26369e-06
3.43663,2.75637e-06
3.43753,1.53969e-06
3.43823,1.78738e-06
3.43898,2.45721e-06
3.43974,1.70019e-06
3.44041,2.19157e-06
3.44046,1.58438e-07
3.44102,9.99885e-07
3.44116,9.00239e-07
3.44166,8.66181e-07
3.44186,1.03815e-06
3.44294,1.05977e-06
3.44327,5.75927e-07
3.44483,1.03893e-06
3.4453,3.2663e-06
3.44663,1.11905e-06
3.4497,2.46801e-06
3.45194,2.68159e-06
3.45297,1.78698e-06
3.45368,1.36499e-06
3.45414,2.95643e-06
3.45485,1.58433e-06
3.45623,1.91172e-06
3.45696,2.32171e-06
3.45755,8.1104e-07
3.45793,2.10028e-06
3.45832,1.21209e-06
3.45871,6.80508e-07
3.4589,1.27144e-06
3.45941,1.25197e-06
3.45993,1.46733e-06
3.46031,1.28327e-06
3.46091,2.16343e-06
3.46096,1.56751e-06
3.46135,8.00073e-07
3.46179,1.43222e-06
3.46185,1.75292e-06
3.46298,2.60781e-06
3.46302,1.32422e-06
3.464,2.4367e-06
3.46467,3.06938e-06
3.46521,2.72544e-06
3.46559,2.24021e-06
3.46588,2.84089e-06
3.46618,2.67953e-06
3.46646,2.33761e-06
3.4668,3.16281e-06
3.46714,3.85705e-06
3.46765,2.22342e-06
3.46836,1.66691e-06
3.46859,3.00674e-06
3.46937,2.68042e-06
3.46965,1.65567e-06
3.47009,5.30687e-07
3.47011,1.48913e-06
3.47043,1.97966e-06
3.47079,1.99845e-06
3.4711,3.00617e-06
3.47181,2.96015e-06
3.47206,2.4777e-06
3.47236,1.94377e-06
3.47251,1.53531e-06
3.47274,1.72836e-06
3.47301,1.95707e-06
3.47326,1.00608e-06
3.47344,2.27872e-06
3.47427,2.24124e-06
3.47467,4.00565e-06
3.47549,1.15862e-06
3.47722,6.82137e-06
3.47901,2.22949e-06
3.48017,6.00536e-06
3.48122,3.25174e-06
3.48136,5.88556e-07
3.48222,1.99261e-06
3.48235,1.88442e-06
3.48308,3.10209e-06
3.48385,4.59774e-06
3.48441,1.96107e-06
3.48479,2.8349e-06
3.4852,3.92697e-06
3.4859,3.73148e-06
3.48647,4.07275e-06
3.48699,2.63835e-06
3.4877,2.57434e-06
3.48779,1.64962e-06
3.48894,6.26961e-06
3.48994,2.33644e-06
3.4906,3.64203e-06
3.49166,4.61285e-06
3.49257,4.68443e-06
3.4929,8.65802e-07
3.4934,2.58188e-06
3.49399,3.39645e-06
3.49447,2.73999e-06
3.49517,3.36427e-06
3.49637,6.04511e-06
3.49702,1.61817e-06
3.49737,1.01399e-06
3.49775,3.06876e-06
3.49869,3.53075e-06
3.49967,3.19799e-06
3.50049,1.88111e-06
3.50147,3.2091e-06
3.50234,9.69356e-07
3.50425,2.17086e-06
3.51059,8.15233e-06
3.54431,1.06347
3.58141,8.69501e-06
3.58347,1.55538e-06
3.58376,5.52214e-06
3.5845,3.70083e-06
3.58633,7.48691e-06
3.58759,4.97563e-06
3.58891,9.6549e-06
3.59009,8.71154e-06
3.59091,1.02667e-05
3.59142,3.74538e-06
3.59174,5.42068e-06
3.59225,1.03585e-05
3.59334,1.56132e-05
3.59425,7.3913e-06
3.59485,9.55648e-06
3.59543,7.60937e-06
3.59617,9.74269e-06
3.59721,1.17757e-05
3.59816,6.27702e-06
3.59885,8.45331e-06
3.59991,9.79985e-06
3.60073,5.41047e-06
3.60131,4.93536e-06
3.60206,8.45349e-06
3.60285,6.71806e-06
3.60345,6.15389e-06
3.60385,2.69042e-06
3.60435,8.23567e-06
3.60489,4.6714e-06
3.60544,3.05626e-06
3.60587,4.92406e-06
3.60615,3.56704e-06
3.60668,4.77111e-06
3.60723,5.42865e-06
3.60769,5.31763e-06
3.60843,4.38713e-06
3.60892,3.20262e-06
3.60947,4.2004e-06
3.6097,4.27589e-06
3.61057,3.99229e-06
3.61138,7.71783e-06
3.613,1.23127e-05
3.61443,6.39848e-06
3.61518,4.92149e-06
3.61526,5.63836e-07
3.61542,1.5629e-06
3.61566,2.77592e-06
3.61593,2.10564e-06
3.61614,2.30274e-06
3.6163,1.80443e-06
3.61669,2.27818e-06
3.61678,2.71336e-06
3.61749,4.10635e-06
3.61767,1.94958e-06
3.61836,4.97332e-06
3.61848,3.18596e-06
3.619,8.14995e-07
3.61934,4.96457e-06
3.61979,9.11739e-07
3.62022,1.96155e-06
3.62029,4.81838e-06
3.62115,7.4388e-06
3.62157,2.09147e-06
3.62188,3.79626e-06
3.62217,3.29743e-06
3.6225,3.19125e-06
3.62277,3.70938e-06
3.62307,3.88845e-06
3.62336,3.15793e-06
3.62381,6.86633e-06
3.62445,2.6243e-06
3.6247,4.81463e-06
3.62564,7.89607e-06
3.62686,6.47323e-06
3.62767,3.33378e-06
3.62825,5.34733e-06
3.62878,4.06838e-06
3.62916,1.47286e-06
3.62962,2.98796e-06
3.62991,3.20612e-06
3.63034,2.4072e-06
3.63071,2.78396e-06
3.63141,5.17817e-06
3.63227,3.73282e-06
3.63282,4.14077e-06
3.63364,3.41603e-06
3.63429,2.56913e-06
3.63475,1.96153e-06
3.63545,3.44944e-06
3.63666,4.50133e-06
3.63719,1.42621e-06
3.63784,1.20694e-06
3.63825,2.32594e-06
3.63873,2.7499e-06
3.6397,4.41049e-06
3.64066,3.06444e-06
3.64117,1.99018e-06
3.6417,2.28337e-06
3.64263,4.17161e-06
3.64358,3.09755e-06
3.64443,7.18776e-07
3.64447,2.28929e-06
3.64517,1.86114e-06
3.64551,1.04306e-06
3.64597,3.16841e-06
3.64674,2.79006e-06
3.64747,3.58743e-06
3.64823,3.59776e-06
3.64893,2.30095e-06
3.64969,3.74544e-06
3.65039,1.74571e-06
3.65116,2.79316e-06
3.65193,2.98281e-06
3.65273,2.65868e-06
3.65352,3.05418e-06
3.65434,2.5619e-06
3.65516,2.83004e-06
3.656,2.7396e-06
3.65692,2.8477e-06
3.65779,2.54978e-06
3.65872,2.787e-06
3.65969,2.45047e-06
3.66066,2.71689e-06
3.66165,2.47898e-06
3.6627,2.71061e-06
3.66378,2.3995e-06
3.66479,2.6373e-06
3.66588,2.31983e-06
3.66707,2.459e-06
3.66829,2.06414e-06
3.66956,2.49811e-06
3.67071,1.58153e-06
3.67209,2.30183e-06
3.67343,1.86557e-06
3.67487,1.91405e-06
3.67621,1.87695e-06
3.67719,4.03915e-07
3.67773,1.72123e-06
3.67928,1.93376e-06
3.68083,1.65533e-06
3.68249,1.73211e-06
3.68412,1.45304e-06
3.6859,1.65047e-06
3.68774,1.56209e-06
3.68959,1.45364e-06
3.69151,1.45124e-06
3.69359,1.31395e-06
3.69577,1.37189e-06
3.69809,1.15354e-06
3.70042,1.18988e-06
3.70289,1.14278e-06
3.70545,1.01463e-06
3.70823,1.19808e-06
3.71103,8.09468e-07
3.71412,8.56369e-07
3.7173,7.40285e-07
3.7205,7.1324e-07
3.72404,8.0088e-07
3.7278,7.82717e-07
3.73159,6.19456e-07
3.73628,7.82131e-07
3.7408,7.27231e-07
3.74569,8.42312e-07
3.75106,7.24548e-07
3.75698,6.96006e-07
3.76332,6.7916e-07
3.77006,6.38929e-07
3.77807,7.16124e-07
3.78624,6.73672e-07
3.79572,7.0293e-07
3.80668,6.27885e-07
3.81925,5.94167e-07
3.83255,5.49471e-07
3.84867,6.34348e-07
3.86943,3.99053e-07
3.89293,2.97399e-07
3.92301,2.68507e-07
3.96242,1.07039e-08
4.01922,6.46507e-08
4.10448,1.68675e-08
