PPM,Amp
2.44335,1.57761e-08
2.6073,1.06882e-08
2.71514,1.28125e-08
2.79248,3.44489e-08
2.85126,1.16201e-07
2.89853,4.98418e-07
2.93734,4.92874e-07
2.96958,4.99794e-07
2.99707,3.38573e-07
3.02135,4.84341e-07
3.04275,5.08146e-07
3.06221,5.59123e-07
3.07848,5.16377e-07
3.09371,5.01162e-07
3.10685,5.66687e-07
3.12039,6.62529e-07
3.12947,1.1399e-08
3.13173,5.86789e-07
3.14199,6.7556e-07
3.15186,7.05707e-07
3.16149,5.69609e-07
3.16959,5.19724e-07
3.17103,3.28382e-07
3.17812,6.84009e-07
3.18526,7.41988e-07
3.1923,6.21659e-07
3.1992,6.12899e-07
3.20338,7.31667e-09
3.20517,5.38558e-07
3.20768,4.88563e-07
3.21134,5.95023e-07
3.21733,6.13216e-07
3.22236,9.17488e-07
3.22564,6.62998e-08
3.2276,8.40353e-07
3.23263,8.99041e-07
3.23742,8.14833e-07
3.24145,9.1366e-07
3.24568,9.46872e-07
3.24961,9.33498e-07
3.25371,1.17768e-06
3.25753,1.05414e-06
3.26121,9.90788e-07
3.26491,7.61653e-07
3.266,5.53315e-07
3.26833,8.4147e-07
3.26965,3.92624e-07
3.2716,7.98977e-07
3.27271,4.54981e-07
3.27463,9.71926e-07
3.27586,4.38291e-07
3.27774,8.02557e-07
3.279,5.13117e-07
3.2806,7.98939e-07
3.2816,5.65646e-07
3.28371,1.04729e-06
3.28629,1.24493e-06
3.28884,1.1893e-06
3.28981,3.48121e-07
3.29137,1.10767e-06
3.29238,4.86889e-07
3.29389,8.27828e-07
3.29471,7.70055e-07
3.29627,6.90927e-07
3.29709,7.61579e-07
3.29876,8.75792e-07
3.29947,5.58071e-07
3.30088,9.52992e-07
3.30307,1.25682e-06
3.30541,8.10343e-07
3.30747,5.92324e-07
3.3077,7.72665e-07
3.3095,9.85026e-07
3.31162,1.05624e-06
3.31167,1.55714e-07
3.31331,8.35555e-07
3.31539,1.17654e-06
3.31716,1.44682e-06
3.31923,1.34527e-06
3.32084,1.56631e-06
3.32273,1.78954e-06
3.32447,1.88412e-06
3.3261,1.91842e-06
3.3277,1.98941e-06
3.32926,2.06547e-06
3.33078,1.96048e-06
3.33231,2.19655e-06
3.33375,1.76483e-06
3.33519,2.3941e-06
3.33662,1.95006e-06
3.33802,2.44987e-06
3.33939,2.24502e-06
3.34069,2.44442e-06
3.34197,2.47754e-06
3.34326,2.36819e-06
3.34454,2.81783e-06
3.34577,2.31628e-06
3.34694,2.83773e-06
3.34815,2.5279e-06
3.34932,2.79854e-06
3.35054,2.74333e-06
3.35142,8.97618e-07
3.35171,1.56687e-06
3.35253,5.33996e-07
3.35279,2.84891e-06
3.35367,1.33754e-06
3.35401,1.05764e-06
3.35468,1.28648e-06
3.35507,9.63695e-07
3.35576,9.92478e-07
3.35609,1.10141e-06
3.3589,2.00685e-06
3.35905,3.25021e-06
3.36279,1.8606e-06
3.36464,1.68978e-06
3.36575,3.02218e-06
3.36696,1.68159e-06
3.36782,1.72247e-06
3.36861,2.1599e-06
3.36938,2.62473e-06
3.37032,1.93863e-06
3.37112,2.26116e-06
3.372,1.80262e-06
3.37272,2.07868e-06
3.37356,2.03885e-06
3.37444,1.33549e-06
3.37559,3.29653e-06
3.37636,1.26211e-06
3.37785,1.05132e-06
3.37899,5.63199e-06
3.38012,1.49718e-07
3.38179,1.98264e-06
3.38256,2.3856e-06
3.38334,2.70704e-06
3.38392,2.68851e-06
3.38459,3.02334e-06
3.38522,3.25371e-06
3.38582,2.61429e-06
3.38645,3.92802e-06
3.38711,2.69646e-06
3.38767,2.15328e-06
3.38829,3.07349e-06
3.38883,2.3319e-06
3.38949,2.47376e-06
3.39008,2.25363e-06
3.39065,1.79658e-06
3.39144,2.00215e-06
3.3919,1.3963e-06
3.39362,1.1785e-06
3.39391,4.42035e-06
3.3957,2.30267e-06
3.39711,3.1159e-06
3.39806,1.14495e-06
3.39941,7.94136e-07
3.39969,5.79212e-06
3.40133,1.48517e-06
3.40183,3.67032e-07
3.40236,3.68531e-06
3.40323,2.34192e-06
3.40394,2.0812e-06
3.40454,2.56538e-06
3.40544,1.3537e-06
3.40658,2.92859e-06
3.40732,1.8711e-06
3.4077,1.40195e-06
3.40822,4.35625e-07
3.40847,5.23898e-07
3.40891,1.68944e-06
3.40943,2.85322e-07
3.40975,9.36196e-07
3.41053,2.05946e-06
3.41197,1.7969e-06
3.41208,3.28509e-06
3.41331,1.25444e-06
3.41455,1.19627e-07
3.41507,1.18107e-06
3.41583,3.41574e-06
3.41678,1.05358e-06
3.41779,2.76324e-06
3.41854,6.64581e-07
