ppm,val
-1.656354,0.000277
-1.655957,0.000251
-1.655561,0.000192
-1.655164,0.000184
-1.654768,0.000220
-1.654371,0.000212
-1.653975,0.000149
-1.653578,0.000119
-1.653182,0.000166
-1.652786,0.000215
-1.652389,0.000200
-1.651993,0.000159
-1.651596,0.000156
-1.651200,0.000182
-1.650803,0.000191
-1.650407,0.000182
-1.650010,0.000191
-1.649614,0.000229
-1.649217,0.000266
-1.648821,0.000274
-1.648425,0.000255
-1.648028,0.000231
-1.647632,0.000226
-1.647235,0.000237
-1.646839,0.000240
-1.646442,0.000228
-1.646046,0.000228
-1.645649,0.000254
-1.645253,0.000272
-1.644856,0.000260
-1.644460,0.000260
-1.644063,0.000315
-1.643667,0.000381
-1.643271,0.000378
-1.642874,0.000305
-1.642478,0.000237
-1.642081,0.000215
-1.641685,0.000213
-1.641288,0.000216
-1.640892,0.000239
-1.640495,0.000273
-1.640099,0.000272
-1.639702,0.000237
-1.639306,0.000223
-1.638910,0.000247
-1.638513,0.000265
-1.638117,0.000260
-1.637720,0.000273
-1.637324,0.000313
-1.636927,0.000324
-1.636531,0.000274
-1.636134,0.000217
-1.635738,0.000209
-1.635341,0.000228
-1.634945,0.000217
-1.634548,0.000177
-1.634152,0.000151
-1.633756,0.000159
-1.633359,0.000193
-1.632963,0.000231
-1.632566,0.000243
-1.632170,0.000217
-1.631773,0.000195
-1.631377,0.000232
-1.630980,0.000299
-1.630584,0.000298
-1.630187,0.000211
-1.629791,0.000144
-1.629394,0.000176
-1.628998,0.000237
-1.628602,0.000225
-1.628205,0.000168
-1.627809,0.000170
-1.627412,0.000240
-1.627016,0.000294
-1.626619,0.000288
-1.626223,0.000262
-1.625826,0.000244
-1.625430,0.000209
-1.625033,0.000156
-1.624637,0.000133
-1.624241,0.000163
-1.623844,0.000206
-1.623448,0.000219
-1.623051,0.000211
-1.622655,0.000210
-1.622258,0.000215
-1.621862,0.000217
-1.621465,0.000218
-1.621069,0.000219
-1.620672,0.000207
-1.620276,0.000185
-1.619879,0.000180
-1.619483,0.000213
-1.619087,0.000267
-1.618690,0.000304
-1.618294,0.000309
-1.617897,0.000293
-1.617501,0.000270
-1.617104,0.000246
-1.616708,0.000219
-1.616311,0.000197
-1.615915,0.000197
-1.615518,0.000227
-1.615122,0.000262
-1.614726,0.000264
-1.614329,0.000229
-1.613933,0.000201
-1.613536,0.000208
-1.613140,0.000232
-1.612743,0.000242
-1.612347,0.000242
-1.611950,0.000255
-1.611554,0.000280
-1.611157,0.000293
-1.610761,0.000289
-1.610364,0.000275
-1.609968,0.000254
-1.609572,0.000220
-1.609175,0.000186
-1.608779,0.000176
-1.608382,0.000193
-1.607986,0.000217
-1.607589,0.000236
-1.607193,0.000256
-1.606796,0.000280
-1.606400,0.000296
-1.606003,0.000286
-1.605607,0.000240
-1.605210,0.000170
-1.604814,0.000113
-1.604418,0.000110
-1.604021,0.000170
-1.603625,0.000247
-1.603228,0.000283
-1.602832,0.000257
-1.602435,0.000203
-1.602039,0.000172
-1.601642,0.000183
-1.601246,0.000212
-1.600849,0.000221
-1.600453,0.000207
-1.600057,0.000199
-1.599660,0.000216
-1.599264,0.000230
-1.598867,0.000213
-1.598471,0.000189
-1.598074,0.000198
-1.597678,0.000222
-1.597281,0.000214
-1.596885,0.000183
-1.596488,0.000185
-1.596092,0.000214
-1.595695,0.000199
-1.595299,0.000117
-1.594903,0.000057
-1.594506,0.000098
-1.594110,0.000206
-1.593713,0.000285
-1.593317,0.000302
-1.592920,0.000291
-1.592524,0.000275
-1.592127,0.000255
-1.591731,0.000251
