PPM,Amp
-0.388025,5.85775e-07
-0.156524,4.09278e-07
-0.00189217,5.32334e-07
0.120405,3.85919e-07
0.223459,3.16994e-07
0.313223,5.53348e-07
0.393805,5.5838e-07
0.465852,5.36722e-07
0.532215,6.18364e-07
0.592291,6.23743e-07
0.648572,5.47877e-07
0.701141,5.62407e-07
0.750658,5.85385e-07
0.796855,7.51911e-07
0.840696,7.9417e-07
0.882156,7.44676e-07
0.921818,7.42133e-07
0.958926,7.40743e-07
0.994873,6.71555e-07
1.02946,6.18306e-07
1.06168,6.47015e-07
1.09276,6.68479e-07
1.12299,6.53444e-07
1.15253,5.91826e-07
1.17932,6.68069e-07
1.20631,6.51023e-07
1.23179,6.69249e-07
1.25668,7.43661e-07
1.28088,7.57358e-07
1.304,9.5009e-07
1.32681,9.61743e-07
1.34843,1.00204e-06
1.36971,1.00813e-06
1.39023,1.08639e-06
1.41012,1.15487e-06
1.42975,1.19131e-06
1.44861,1.16811e-06
1.46696,1.23432e-06
1.48487,1.1247e-06
1.50128,1.2097e-06
1.51794,1.2659e-06
1.53431,1.29672e-06
1.55044,1.2638e-06
1.56614,1.26835e-06
1.58154,1.28004e-06
1.5962,9.34644e-07
1.60165,5.19852e-07
1.61113,9.69112e-07
1.62457,1.26031e-06
1.63894,1.08742e-06
1.65194,1.15524e-06
1.66513,1.15488e-06
1.67813,1.07281e-06
1.69084,1.12713e-06
1.70345,1.04672e-06
1.70451,5.94561e-07
1.71557,1.0831e-06
1.72732,1.0541e-06
1.7356,1.30696e-07
1.73909,1.13947e-06
1.74161,5.46339e-07
1.75031,1.18534e-06
1.76208,1.49299e-06
1.77325,1.39861e-06
1.78361,1.64392e-06
1.79419,1.86697e-06
1.80453,1.89896e-06
1.81466,2.16466e-06
1.82458,2.10415e-06
1.83425,2.35374e-06
1.84385,2.46191e-06
1.85325,2.48201e-06
1.86229,2.37697e-06
1.87154,2.60302e-06
1.88064,2.40529e-06
1.88919,2.4814e-06
1.89772,2.45863e-06
1.90615,2.56471e-06
1.91466,2.52869e-06
1.92302,2.40316e-06
1.93121,2.64297e-06
1.93888,2.19982e-06
1.94652,2.46014e-06
1.95431,2.50738e-06
1.9619,2.38282e-06
1.96914,2.30274e-06
1.97627,2.32377e-06
1.98357,2.24072e-06
1.9904,1.46598e-06
1.99728,2.71207e-06
2.00484,1.61944e-06
2.0116,1.20598e-06
2.01884,1.70316e-06
2.02528,1.09586e-06
2.03057,6.19506e-07
2.03173,1.17493e-06
2.03725,2.35745e-06
2.03827,6.60313e-07
2.0448,1.0472e-06
2.05118,1.07386e-06
2.05744,1.09479e-06
2.06299,5.07055e-07
2.06326,2.82497e-07
2.06909,8.77753e-07
2.07989,1.42902e-06
2.09717,4.34971e-06
2.1194,3.73559e-06
2.12873,4.31786e-07
2.13398,3.53576e-06
2.17922,1.15747e-05
2.19375,6.84307e-07
2.19836,2.22473e-06
2.20292,2.52962e-06
2.20745,2.15161e-06
2.21091,2.67766e-06
2.21462,3.30415e-06
2.21988,2.84234e-06
2.22365,4.71839e-06
2.22811,1.78117e-06
2.23109,4.44212e-06
2.23595,5.28354e-06
2.24056,5.06081e-06
2.24462,5.14192e-06
2.24834,5.895e-06
2.25225,5.99293e-06
2.2561,5.51781e-06
2.25975,5.07113e-06
2.26347,5.96549e-06
2.26741,4.87812e-06
2.27112,4.75581e-06
2.27493,4.06485e-06
2.27854,4.85903e-06
2.28167,3.17259e-06
2.28547,4.75197e-06
2.28867,1.58474e-06
2.29427,7.7535e-06
2.31297,1.7052e-05
2.33216,6.83027e-06
2.33974,9.41413e-06
2.3471,2.78576e-06
2.3517,1.05302e-05
2.36087,1.19186e-05
2.36742,3.84906e-06
2.36786,2.9574e-06
2.3704,2.12052e-06
2.37368,3.15583e-06
2.37681,7.93324e-06
2.38493,3.79187e-06
2.38711,4.96021e-06
2.38956,7.34434e-06
2.39197,4.87354e-06
2.39507,3.53327e-06
2.39752,3.98381e-06
2.4,4.97809e-06
2.40254,5.13781e-06
2.40503,5.83861e-06
2.40748,5.95433e-06
2.40992,5.26432e-06
2.41249,6.214e-06
2.4151,5.29646e-06
2.41761,5.26812e-06
2.42025,5.0828e-06
2.42441,7.7762e-06
2.42732,2.21439e-06
2.42969,1.84106e-06
2.43356,1.23985e-05
2.43789,3.65103e-06
2.44087,4.59422e-06
2.44827,1.19877e-05
2.45843,1.10715e-05
2.46537,3.84855e-06
2.46882,1.10058e-05
2.47077,1.0281e-06
2.47367,2.18983e-06
2.47509,3.37289e-06
2.4768,4.05277e-06
2.47871,7.31852e-06
2.48067,1.36618e-06
2.48364,3.50672e-06
2.48514,6.74946e-06
2.48747,6.87218e-07
2.48959,3.41277e-06
2.4941,6.90737e-06
2.4979,4.35141e-06
2.50264,7.23147e-06
2.5089,1.64999e-06
2.51103,2.8204e-06
2.52002,1.46952e-05
2.52621,4.72451e-07
2.53175,3.62854e-06
2.53711,4.77157e-06
2.53896,1.32099e-07
2.54034,1.91191e-06
2.54363,3.55561e-06
2.54701,4.74802e-06
2.55171,6.03926e-06
2.56507,1.27112e-05
2.5821,2.92204e-06
2.58871,6.21685e-06
2.59322,1.56229e-06
2.59452,1.66131e-06
2.59613,5.18114e-07
2.59907,1.47502e-06
2.59927,1.13123e-06
2.60752,6.68536e-06
2.61544,1.67769e-06
2.62062,3.47325e-06
2.62451,6.75256e-07
2.62918,4.37367e-06
2.63352,1.01741e-06
2.63463,8.87355e-07
2.63566,5.85202e-07
2.63936,5.23758e-06
2.65847,4.1775e-06
2.66265,2.02771e-07
2.66487,1.97898e-07
2.67777,2.58104e-06
2.68913,5.25928e-07
2.69082,1.61922e-06
2.69171,2.69253e-07
2.71082,4.04662e-06
2.72806,5.64184e-07
2.74767,1.83116e-06
2.75565,4.94978e-07
2.75629,6.25036e-07
2.76595,1.37829e-06
2.76845,8.57503e-07
3.12577,0.0662984
3.21294,0.0679195
3.29853,0.322457
3.38701,0.751575
3.44633,0.425385
3.56158,0.065924
3.6189,0.0676603
3.96745,0.287863
4.02466,0.223693
4.05441,0.208912
4.11182,0.18331
4.54005,6.47904e-07
4.55284,1.24889e-06
4.56288,3.15837e-06
4.5822,5.49987e-06
4.59072,2.25412e-06
4.59236,8.84713e-07
4.59341,9.51555e-07
4.60249,6.0714e-06
4.61038,1.06435e-05
4.61731,5.7671e-06
4.6221,2.70193e-06
4.62662,2.16826e-06
4.6318,2.04859e-05
4.64389,1.09253e-05
4.64886,9.44638e-07
4.65699,8.48775e-06
4.6649,1.77723e-05
4.67145,3.87807e-06
4.67673,8.97607e-06
4.68032,4.59785e-06
4.68289,2.37545e-06
4.68458,4.62377e-06
4.68948,1.98382e-05
4.69412,4.24567e-06
4.69602,4.68099e-06
4.69832,3.16121e-06
4.70366,2.3973e-05
4.7138,1.61938e-05
4.718,5.92031e-06
4.72,4.69959e-06
4.72134,5.61384e-06
4.72421,1.13515e-05
4.72817,1.61526e-05
4.73227,7.1017e-06
4.73361,1.07392e-05
4.73668,1.02648e-05
4.73961,5.50415e-06
4.74116,8.59753e-06
4.7429,9.33958e-06
4.74498,9.70589e-06
4.74691,8.42377e-06
4.74876,8.93973e-06
4.75077,6.59224e-06
4.75258,8.38525e-06
4.75469,7.98994e-06
4.75688,7.80222e-06
4.76001,1.70831e-05
4.76661,1.01656e-05
4.76813,1.12163e-05
4.77412,1.29376e-05
4.77929,1.91658e-05
4.78485,1.32008e-05
4.78758,6.56716e-06
4.78959,7.43413e-06
4.79242,7.99702e-06
4.7948,6.97606e-06
4.79657,7.0021e-06
4.79703,4.4498e-06
4.80061,1.24375e-05
4.80299,5.29296e-06
4.80424,5.93692e-06
4.80669,8.52399e-06
4.80937,1.0936e-05
4.81186,8.04291e-06
4.8145,8.70613e-06
4.81702,8.8194e-06
4.81947,8.50186e-06
4.82216,7.80331e-06
4.8247,7.89039e-06
4.82711,7.92874e-06
4.82978,8.26582e-06
4.83252,8.44444e-06
4.83535,7.37138e-06
4.838,8.26194e-06
4.8382,1.51024e-06
4.84101,3.6638e-06
4.84215,3.67591e-06
4.84521,7.15037e-06
4.84789,7.62078e-06
4.85107,7.56301e-06
4.85477,6.70164e-06
4.85754,5.60194e-06
4.86042,7.60554e-06
4.86399,6.55233e-06
4.86675,6.6981e-06
4.87007,6.61333e-06
4.87272,5.5467e-06
4.87585,7.22453e-06
4.87905,5.10629e-06
4.88163,5.94389e-06
4.88304,3.24081e-06
4.88464,2.08907e-06
4.88621,2.40522e-06
4.88862,6.35046e-06
4.89226,3.36794e-06
4.89646,1.18157e-05
4.90474,6.53659e-06
4.90643,7.09468e-06
4.91158,3.48834e-06
4.91493,5.03252e-06
4.91832,6.01398e-06
4.92189,6.32873e-06
4.92578,6.54879e-06
4.92965,6.27854e-06
4.93352,5.46339e-06
4.93783,5.05394e-06
4.93947,2.01389e-06
4.94186,3.03473e-06
4.94384,2.01281e-06
4.94593,2.71286e-06
4.94822,3.50061e-06
4.95028,3.09229e-06
4.95492,3.94839e-06
4.97166,1.02024e-05
4.99105,1.62945e-06
4.99585,3.29681e-06
5.00117,3.20227e-06
5.00613,2.79748e-06
5.01158,2.81264e-06
5.01694,2.93987e-06
5.02239,2.50318e-06
5.02772,2.40131e-06
5.03328,3.02658e-06
5.0392,1.97447e-06
5.04183,1.70503e-06
5.04521,2.1606e-06
5.04756,1.66481e-06
5.05341,4.8831e-06
5.06098,2.99072e-06
5.06786,3.78041e-06
5.07462,2.83412e-06
5.08151,3.4104e-06
5.08871,2.93507e-06
5.0959,3.07477e-06
5.10382,3.08903e-06
5.11205,3.17875e-06
5.12055,2.86182e-06
5.12938,2.87829e-06
5.13865,2.6415e-06
5.14856,2.57833e-06
5.15853,2.47211e-06
5.16888,2.31639e-06
5.18037,1.85467e-06
5.19329,2.41239e-06
5.2048,1.59411e-06
5.21515,5.10236e-07
5.22096,1.05478e-06
5.2355,1.89351e-06
5.25479,1.28311e-06
5.27521,7.75228e-07
5.30111,3.25203e-07
5.33612,3.73678e-06
5.45306,7.0848e-07
5.49055,7.69672e-07
5.51734,6.49962e-07
5.53928,9.0997e-07
5.55861,6.999e-07
5.5756,7.57215e-07
5.59035,7.0058e-07
5.59509,1.17242e-07
5.60442,7.48128e-07
5.61768,8.14779e-07
5.63033,8.52888e-07
5.63281,1.21323e-07
5.64181,9.81739e-07
5.65366,1.20787e-06
5.6641,1.46212e-06
5.67412,1.77286e-06
5.68337,1.92193e-06
5.69316,2.01492e-06
5.70265,2.11105e-06
5.71125,2.22372e-06
5.71989,2.21593e-06
5.72812,2.24803e-06
5.73594,2.25282e-06
5.74377,2.37736e-06
5.75132,2.39726e-06
5.7585,2.11482e-06
5.7655,2.21836e-06
5.77287,1.86078e-06
5.77985,1.55351e-06
5.78651,1.36988e-06
5.79346,1.46408e-06
5.80046,1.15304e-06
5.80096,3.41462e-06
5.8066,1.28664e-06
5.81302,1.06933e-06
5.81568,9.94504e-07
5.81936,8.05879e-07
5.83661,4.57695e-06
5.86088,5.79002e-06
5.8798,3.65989e-06
5.89186,1.80976e-06
5.89652,2.07994e-06
5.92247,6.49195e-06
5.92356,5.71664e-06
5.92469,3.68407e-07
5.92808,9.73404e-07
5.93306,9.70407e-07
5.93669,1.07339e-07
5.93689,1.83027e-06
5.94106,1.92237e-06
5.94578,2.68893e-06
5.94953,2.36402e-06
5.95593,7.37612e-06
5.96169,2.96889e-06
5.96553,4.92774e-06
5.96989,5.13035e-06
5.97395,5.03053e-06
5.97775,4.99262e-06
5.98162,5.31951e-06
5.98529,4.15996e-06
5.98879,5.16231e-06
5.99268,4.05128e-06
5.99578,3.52711e-06
5.99966,4.56596e-06
6.00338,2.32755e-06
6.00722,4.83532e-06
6.01063,2.56845e-06
6.01452,3.47815e-06
6.01831,2.96346e-06
6.02159,1.54188e-06
6.02412,1.85462e-06
6.03128,1.62769e-05
6.03766,6.22521e-07
6.04519,8.02235e-06
6.06051,1.27112e-05
6.07328,5.76878e-06
6.08051,2.02058e-05
6.08964,6.49109e-06
6.09455,9.65466e-06
6.09752,2.83407e-07
6.10021,8.84137e-07
6.10245,1.71259e-05
6.10461,2.78827e-06
6.11032,7.31332e-06
6.11394,5.379e-06
6.11671,4.81594e-06
6.11929,4.77019e-06
6.12207,6.56111e-06
6.12474,5.01687e-06
6.12717,6.54531e-06
6.12964,5.64842e-06
6.13222,4.13733e-06
6.13598,1.05433e-05
6.14036,9.68594e-06
6.14488,3.5408e-06
6.14909,6.89268e-06
6.15494,4.30103e-06
6.16409,2.73733e-05
6.18047,1.53079e-05
6.19011,3.80482e-06
6.19216,5.5042e-06
6.19353,6.5278e-06
6.19652,4.02082e-06
6.20025,3.12784e-06
6.20053,3.42278e-06
6.20271,4.60268e-06
6.20593,6.5786e-06
6.21035,1.46946e-05
6.21428,4.04068e-06
6.21637,2.50632e-06
6.21788,4.50774e-06
6.21989,1.00485e-05
6.22403,4.10365e-06
6.22601,5.1117e-06
6.22822,1.30591e-06
6.2304,3.56013e-06
6.2343,1.34099e-05
6.23709,3.03229e-06
6.23829,2.747e-06
6.24332,5.24451e-06
6.24377,2.97853e-06
6.24938,9.69565e-06
6.25404,3.44055e-06
6.25481,3.69005e-06
6.25498,1.25699e-06
6.25804,2.92587e-06
6.26131,7.44146e-06
6.26494,5.42425e-06
6.2687,1.97256e-06
6.27129,6.22187e-07
6.27299,1.20237e-05
6.28642,2.45512e-05
6.30357,8.74736e-06
6.30476,3.83457e-06
6.30969,3.24524e-06
6.31433,1.25728e-05
6.32327,5.21131e-06
6.32461,3.92908e-06
6.33057,5.63168e-06
6.33804,8.80198e-06
6.34193,1.92664e-06
6.34322,2.60558e-06
6.34458,2.48991e-06
6.34588,1.92867e-06
6.34807,3.95541e-06
6.35078,1.44337e-05
6.35767,1.36012e-05
6.37636,1.05357e-05
6.38104,6.91714e-06
6.38703,2.9987e-06
6.38829,8.47253e-07
6.38953,8.65146e-07
6.39077,3.19057e-06
6.3956,8.75276e-06
6.40718,6.95192e-06
6.40832,8.54916e-06
6.42097,8.60293e-06
6.42747,2.67883e-06
6.43024,5.48358e-07
6.43886,1.3975e-05
6.45692,7.58813e-06
6.46727,5.38067e-06
6.47173,1.88844e-06
6.47458,3.75237e-06
6.48385,5.7253e-06
6.49663,4.25748e-06
6.52517,2.04531e-05
6.55194,4.36493e-07
6.56134,4.49039e-08
6.5689,2.04871e-06
6.56901,1.98303e-07
6.56953,2.03107e-07
6.59762,8.5835e-07
6.59816,6.22049e-07
6.60099,1.27904e-07
6.6454,3.62344e-07
7.08624,0.022158
7.09655,0.0539642
7.16504,0.135654
7.17489,0.193148
7.19842,0.129609
7.22456,0.39364
7.25282,0.215028
7.27838,0.162214
7.28555,0.232006
7.3035,0.923808
7.35875,0.128556
7.39018,0.00769627
7.43999,0.0425407
7.49052,0.304765
7.50062,0.137794
7.51974,0.100218
7.55191,0.0775282
7.57098,0.070602
7.5808,0.154935
7.62927,0.0353038
7.68274,0.333699
7.70776,0.108956
7.74014,0.0900188
7.76515,0.24314
7.81978,0.014479
8.14785,1.77847e-05
8.19963,1.43191e-05
8.28622,1.74888e-05
8.30318,1.0962e-05
8.3129,1.51619e-06
