PPM,Amp
3.12578,0.0666486
3.213,0.0757337
3.29856,0.336902
3.38701,0.758062
3.44625,0.439974
3.56157,0.0738551
3.61905,0.0706184
3.96729,0.282219
4.02487,0.252658
4.05418,0.239701
4.1118,0.187217
7.09565,0.0760656
7.17311,0.30024
7.19888,0.242256
7.22464,0.461753
7.25301,0.347301
7.30321,1.00001
7.35798,0.174173
7.44035,0.070968
7.49205,0.38347
7.51744,0.169629
7.55283,0.130838
7.57921,0.212031
7.62928,0.0644502
7.68302,0.354838
7.70615,0.16912
7.74116,0.143933
7.76493,0.263236
7.81864,0.027436
