PPM,Amp
0.809452,1.69337e-09
1.52939,3.03322e-10
1.53144,4.29477e-09
1.53271,5.98953e-09
1.86377,2.74037e-10
1.86556,9.66181e-09
1.86688,2.37631e-08
2.06985,5.52247e-08
2.21004,4.90032e-08
2.21284,6.61501e-08
2.31284,6.29376e-09
2.31418,2.35375e-08
2.3152,6.41322e-08
2.39594,4.41721e-08
2.39752,1.03089e-07
2.46033,3.52179e-08
2.46136,8.14709e-08
2.51525,4.94514e-07
2.56002,5.87693e-07
2.59879,1.0841e-07
2.60062,1.92464e-07
2.6331,4.76784e-07
2.66261,4.65199e-07
2.68891,2.26654e-07
2.69097,3.16264e-07
2.71232,1.19337e-07
2.7136,4.68423e-07
2.73421,5.07325e-07
2.75357,6.59752e-07
2.77195,6.68386e-07
2.78668,1.64952e-07
2.78904,5.94536e-07
2.80185,2.04652e-07
2.80329,5.99815e-07
2.81686,6.60171e-07
2.82854,7.59891e-07
2.84023,7.77945e-07
2.85208,7.57816e-07
2.86151,2.23134e-07
2.86271,7.62479e-07
2.87123,2.18312e-07
2.87246,7.08755e-07
2.88174,7.58916e-07
2.8892,2.98957e-07
2.89059,6.27691e-07
2.8974,4.22357e-07
2.89901,5.21064e-07
2.9052,3.77422e-07
2.90646,5.10203e-07
2.91269,5.71832e-07
2.91455,2.4432e-07
2.91963,5.82803e-07
2.92603,4.29658e-07
2.92712,2.79707e-07
2.92841,2.8527e-07
2.93276,5.40307e-07
2.93511,3.01415e-07
2.93866,6.84136e-07
2.94481,6.49027e-07
2.94994,7.0424e-07
2.95138,5.81637e-07
2.95508,5.86878e-07
2.95632,5.41575e-07
2.96066,9.52671e-07
2.96522,6.9939e-07
2.96646,3.88334e-07
2.96994,8.59707e-07
2.97445,1.01433e-06
2.97566,1.96088e-07
2.97885,9.01354e-07
2.98293,1.00517e-06
2.98689,9.97018e-07
2.99074,1.09867e-06
2.99176,7.24737e-08
2.99459,1.2193e-06
2.99616,2.03826e-07
2.99836,1.07816e-06
2.99972,4.35918e-07
3.00191,1.01851e-06
3.00329,3.74266e-07
3.00512,8.67936e-07
3.00615,3.24904e-07
3.00677,4.77461e-07
3.00854,9.61875e-07
3.00995,4.01685e-07
3.01183,9.74906e-07
3.01305,3.30527e-07
3.01473,9.18763e-07
3.01734,8.12391e-07
3.01821,8.62732e-07
3.02043,6.71233e-07
3.02151,4.24104e-07
3.02357,8.68828e-07
3.02621,1.17597e-06
3.0288,9.07524e-07
3.02981,6.86381e-07
3.03141,8.02671e-07
3.03218,7.40253e-07
3.03377,8.79018e-07
3.03475,6.88069e-07
3.03642,8.50977e-07
3.03726,5.69346e-07
3.0387,7.48436e-07
3.03953,5.79356e-07
3.04121,7.25933e-07
3.04186,4.01024e-07
3.04336,8.36475e-07
3.04551,7.90267e-07
3.04768,8.52616e-07
3.0499,6.50324e-07
3.05001,1.84236e-06
3.05102,3.13464e-07
3.05166,7.37855e-07
3.05374,7.41488e-07
3.056,1.12205e-06
3.05781,8.09746e-07
3.05958,1.37824e-06
3.06148,1.2861e-06
3.06341,1.60772e-06
3.06515,1.51318e-06
3.06684,1.93044e-06
3.06855,1.81168e-06
3.07019,1.90481e-06
3.07184,2.11705e-06
3.07343,2.02029e-06
3.07494,2.08116e-06
3.07641,2.05519e-06
3.07789,2.26156e-06
3.07935,2.15887e-06
3.08076,2.28285e-06
3.08225,2.53876e-06
3.08358,2.00153e-06
3.08491,2.76789e-06
3.08627,2.12848e-06
3.08754,2.8468e-06
3.08883,2.53423e-06
3.09006,2.81012e-06
3.09135,3.022e-06
3.09257,2.53871e-06
3.09372,2.7785e-06
3.09492,2.41288e-06
3.09609,2.31206e-06
3.09718,1.44623e-06
3.09828,9.11563e-07
3.09836,8.32988e-07
3.09854,1.79739e-06
3.09944,4.50692e-07
3.10045,8.69971e-07
3.10135,6.8521e-07
3.10145,2.62759e-07
3.10512,4.59804e-06
3.1096,1.27186e-06
3.11138,1.88467e-06
3.11252,7.54824e-07
3.11389,2.95461e-06
3.11503,1.36796e-06
3.11618,1.72277e-06
3.11691,2.56262e-06
3.11758,1.53379e-06
3.11871,1.67484e-06
3.11946,2.22704e-06
3.12043,1.57586e-06
3.12161,3.09393e-06
3.12357,2.29528e-06
3.12401,1.79018e-06
3.12496,1.54375e-06
3.12535,9.72213e-07
3.12577,3.77471e-06
3.12624,2.03326e-06
3.12713,2.57324e-06
3.12734,7.17264e-07
3.12783,1.81702e-06
3.12804,9.76394e-07
3.12865,3.82118e-06
3.12942,3.43378e-06
3.12998,2.63034e-06
3.13065,3.61122e-06
3.1314,4.01091e-06
3.13201,3.15037e-06
3.13263,3.90849e-06
3.13329,3.79986e-06
3.13387,3.60304e-06
3.13447,3.13746e-06
3.13509,3.75648e-06
3.13577,3.46396e-06
3.13636,2.42433e-06
3.13689,1.68535e-06
3.13696,1.13109e-06
3.13755,2.92611e-06
3.1382,1.81811e-06
3.13863,3.68822e-06
3.13917,1.41023e-06
3.13924,8.80618e-07
3.14001,3.93908e-06
3.14143,4.52762e-06
3.14272,4.24658e-06
3.1449,9.04498e-06
3.14603,1.65443e-06
3.14701,5.00736e-06
3.14796,2.70318e-06
3.14845,5.29159e-06
3.1492,4.10937e-06
3.14958,1.11707e-06
3.14984,1.89603e-06
3.15025,3.71292e-06
3.15076,2.55892e-06
3.15116,3.70738e-06
3.15166,2.14467e-06
3.15217,5.55303e-06
3.15297,3.29947e-06
3.1532,2.05104e-06
3.15374,4.17495e-06
3.15415,2.41992e-06
3.1545,2.46159e-06
3.15491,2.34091e-06
3.15608,8.99307e-06
3.15721,2.94487e-07
3.15746,1.51395e-06
3.15834,3.88911e-06
3.15991,1.01496e-05
3.1612,2.10078e-06
3.16164,2.5543e-06
3.16209,2.22932e-06
3.16243,2.06096e-06
3.16248,1.01123e-06
3.16302,3.24486e-06
3.1638,3.88763e-06
3.16473,3.21809e-06
3.16519,3.48885e-06
3.16656,3.61596e-06
3.16777,5.21231e-06
3.16922,4.01956e-06
3.16987,2.96559e-06
3.16992,1.18621e-06
3.1711,5.50343e-06
3.17192,2.6258e-06
3.17269,5.13093e-06
3.17358,4.01374e-06
3.17402,1.43682e-06
3.17466,2.41735e-06
3.17502,4.02992e-06
3.17656,8.61321e-06
3.17722,6.87708e-07
3.17789,2.31293e-06
3.17808,1.20098e-06
3.17849,3.41454e-06
3.1796,8.5693e-06
3.18226,1.02888e-05
3.18446,1.87928e-07
3.18464,5.58949e-07
3.18489,7.3756e-07
3.18596,3.51896e-06
3.1864,5.03304e-06
3.18694,2.65686e-07
3.18759,2.04825e-06
3.18831,3.24004e-06
3.18899,1.72022e-06
3.18952,4.92237e-06
3.19077,5.17373e-06
3.19116,3.77333e-07
3.1922,4.86664e-06
3.19309,1.36238e-06
3.19395,1.84484e-06
3.19465,6.20375e-06
3.19552,6.86815e-07
3.19639,1.48735e-06
3.19694,3.33253e-06
3.19786,2.92123e-06
3.19925,6.12301e-06
3.20122,4.42696e-06
3.20223,1.51435e-06
3.20366,4.48066e-06
3.20413,7.96462e-07
3.20436,6.13516e-07
3.20454,6.57984e-07
3.20474,6.30947e-07
3.20492,7.88107e-07
3.20521,6.99226e-07
3.20569,2.94981e-06
3.20788,1.97419e-06
3.20877,3.81163e-06
3.20883,2.51028e-07
3.21084,7.14484e-07
3.21294,1.38301e-06
3.21379,1.26489e-06
3.21503,5.64809e-07
3.21583,1.26006e-06
3.21634,8.37499e-07
3.26868,0.20198
3.28475,0.205931
3.29992,0.281638
3.31599,0.299558
3.36201,1.80668e-06
3.37098,3.22696e-05
3.37223,1.72633e-07
3.37391,1.06437e-07
3.38346,1.02769e-07
3.38655,1.51575e-07
3.45059,0.290606
3.4606,0.289842
3.48183,0.203149
3.49185,0.203365
3.53415,6.26657e-06
3.54154,4.79957e-06
3.5458,1.30901e-05
