# SCF GIAO Method
# X-Axis:  Shielding (ppm)
# Y-Axis:  Degeneracy
# NMR Degeneracy Tolerance:  0.05
#
Part                      X                   Y          Degeneracy
10-O      -99.0223000000        1.0000000000        1.0000000000
 6-C       13.2380000000        1.0000000000        1.0000000000
16-H       25.7402000000        1.0000000000        1.0000000000
19-H       25.7974000000        1.0000000000        1.0000000000
17-H       25.9450000000        1.0000000000        2.0000000000
20-H       25.9522000000        2.0000000000        2.0000000000
13-H       26.0960000000        1.0000000000        1.0000000000
23-H       28.5160000000        1.0000000000        1.0000000000
 4-H       30.3262000000        1.0000000000        2.0000000000
 7-H       30.3646000000        2.0000000000        2.0000000000
 8-H       30.7912000000        1.0000000000        1.0000000000
 2-H       32.7036000000        1.0000000000        1.0000000000
21-H       33.0115000000        1.0000000000        1.0000000000
 9-C       67.9610000000        1.0000000000        1.0000000000
12-C       75.1440000000        1.0000000000        1.0000000000
11-C       75.2992000000        1.0000000000        1.0000000000
15-C       75.7369000000        1.0000000000        1.0000000000
14-C       75.9835000000        1.0000000000        1.0000000000
18-C       77.8852000000        1.0000000000        1.0000000000
 3-C      154.5173000000        1.0000000000        1.0000000000
22-O      158.1096000000        1.0000000000        1.0000000000
 5-C      168.5409000000        1.0000000000        1.0000000000
 1-N      251.0710000000        1.0000000000        1.0000000000
