Distance_(pixels),Gray_Value
0,5.0000
1,12.6644
2,13.3252
3,13.6407
4,9.9653
5,2.6522
6,7.3299
7,10.8163
8,5.4304
9,0.0000
10,0.0058
11,3.0318
12,4.7013
13,10.1502
14,22.2444
15,13.6020
16,9.9711
17,8.7354
18,10.5523
19,11.6886
20,4.2178
21,15.6482
22,16.3871
23,7.6800
24,10.1386
25,12.5933
26,10.6488
27,13.7192
28,15.6765
29,9.5494
30,9.8960
31,16.5413
32,15.8146
33,26.3616
34,28.1363
35,28.0000
36,18.0838
37,22.3888
38,34.5869
39,16.2207
40,13.5511
41,6.4518
42,10.5696
43,7.0000
44,10.1779
45,15.6407
46,18.2293
47,9.2293
48,9.0815
49,13.9370
50,14.6534
51,7.8729
52,15.3033
53,11.4593
54,6.9573
55,4.3969
56,3.9128
57,4.2386
58,5.2646
59,4.0682
60,1.1866
61,4.5800
62,5.8816
63,6.0306
64,6.5921
65,11.0329
66,8.8758
67,10.4731
68,10.8047
69,8.7464
70,7.4240
71,14.9284
72,30.3772
73,9.7291
74,3.1115
75,5.8099
76,5.0878
77,3.5552
78,0.2883
79,6.0416
80,16.1976
81,27.4148
82,10.1947
83,8.3790
84,7.2005
85,11.5534
86,10.9792
87,6.6164
88,10.9832
89,10.8458
90,11.4893
91,19.1924
92,21.4396
93,16.6788
94,8.3333
95,0.7683
96,4.2207
97,7.3894
98,7.7233
99,11.4281
100,14.7689
101,11.9255
102,5.6482
103,0.7735
104,3.7695
105,10.3645
106,10.1225
107,11.9890
108,15.6239
109,23.5147
110,14.6020
111,4.7562
112,4.8510
113,7.3847
114,5.6008
115,10.7938
116,23.4743
117,12.1797
118,2.9925
119,5.5292
120,11.4853
121,8.5592
122,6.8325
123,8.0711
124,13.8261
125,16.2611
126,4.5939
127,11.3125
128,16.5609
129,9.8902
130,1.3518
131,7.5748
132,21.3443
133,21.2045
134,15.7140
135,8.8226
136,8.2571
137,12.6118
138,18.1675
139,7.1121
140,10.3137
141,9.5927
142,11.1901
143,12.6014
144,8.5003
145,7.8342
146,6.1808
147,7.7643
148,8.5043
149,5.0000
150,10.6135
151,9.7383
152,4.7366
153,5.8232
154,8.1554
155,8.9850
156,12.2530
157,23.3674
158,17.7221
159,16.0919
160,13.7031
161,11.5350
162,14.9705
163,17.3559
164,5.3790
165,1.0485
166,0.2374
167,4.2721
168,0.4853
169,0.9763
170,0.7054
171,0.9382
172,1.8365
173,5.6332
174,12.8943
175,19.6938
176,21.5713
177,22.4622
178,26.1098
179,27.8966
180,38.2265
181,35.7516
182,39.4720
183,56.6343
184,77.7192
185,92.1092
186,95.2501
187,94.2253
188,95.8013
189,98.9538
190,89.4107
191,79.0139
192,75.2230
193,68.1358
194,66.3709
195,74.2022
196,58.5904
197,43.5696
198,41.0815
199,34.0225
200,24.9151
201,29.6187
202,27.3333
203,20.4633
204,25.8146
205,18.2236
206,10.8336
207,18.2421
208,14.9029
209,15.5038
210,11.0612
211,25.6395
212,24.5453
213,29.0607
214,29.0358
215,43.4905
216,41.7094
217,14.1594
218,15.6072
219,23.0364
220,18.6020
221,13.4396
222,12.1282
223,11.6441
224,0.2588
225,0.0000
226,0.7250
227,2.7267
228,4.9463
229,10.8885
230,9.3426
231,10.2617
232,7.6528
233,3.2819
234,4.2166
235,4.8278
236,5.7429
237,9.1427
238,7.8209
239,0.1953
240,1.2773
241,2.8354
242,2.6990
243,2.9122
244,4.9353
245,9.0595
246,6.4806
247,12.8140
248,17.3599
249,19.5118
250,20.5661
251,20.9399
252,26.1386
253,7.2848
254,2.4945
255,4.1935
256,6.6268
257,15.2357
258,20.8833
259,25.9128
260,17.9856
261,19.1028
262,12.1802
263,3.5783
264,1.3726
265,0.9185
266,0.1797
267,0.0000
268,1.5482
269,2.4662
270,6.0791
271,8.2981
272,12.8429
273,19.4373
274,22.8510
275,18.7418
276,17.5211
277,20.4136
278,14.2213
279,7.7545
280,12.9365
281,26.5737
282,26.5985
283,11.7065
284,8.1849
285,10.4737
286,15.3391
287,5.8359
288,2.6655
289,4.5014
290,3.0035
291,4.6436
292,9.9232
293,7.6095
294,3.4968
295,7.4835
296,2.5477
297,3.2351
298,4.9965
299,2.7909
300,4.7204
301,8.2611
302,6.1716
303,6.3651
304,7.9214
305,8.4287
306,12.1213
307,10.2265
308,8.2883
309,9.4263
310,15.6314
311,14.6857
312,7.3582
313,0.5142
314,1.6077
315,6.0901
316,4.3888
317,5.7984
318,5.0890
319,2.6938
320,2.6638
321,4.8169
322,5.8602
323,5.8931
324,3.4847
325,1.4558
326,0.9417
327,3.5113
328,5.1369
329,12.6724
330,3.2363
331,2.4159
332,3.5436
333,4.6170
334,6.7192
335,9.0324
336,6.2958
337,8.9497
338,7.8481
339,12.1421
340,13.8267
341,9.7718
342,6.2328
343,6.3333
344,16.1028
345,13.8076
346,8.8660
347,7.6736
348,12.4708
349,19.8278
350,10.9122
351,3.0751
352,1.6332
353,0.0000
354,0.4090
355,4.6932
356,2.9365
357,6.1438
358,11.8758
359,12.5927
360,9.3588
361,11.2617
362,6.5425
363,10.8920
364,15.5217
365,14.3270
366,11.9428
367,11.4864
368,17.2467
