Distance_(pixels),Gray_Value
0,0.000
1,0.666
2,3.329
3,2.662
4,0.000
5,0.002
6,0.000
7,0.001
8,0.000
9,0.000
10,0.000
11,0.002
12,0.000
13,3.987
14,16.954
15,14.635
16,6.386
17,2.405
18,0.083
19,0.392
20,0.027
21,0.004
22,1.316
23,1.973
24,0.000
25,0.000
26,6.985
27,12.547
28,2.957
29,0.000
30,0.655
31,0.327
32,0.000
33,0.006
34,0.327
35,0.000
36,0.000
37,0.000
38,0.000
39,0.000
40,1.426
41,13.469
42,7.325
43,3.667
44,3.701
45,3.623
46,2.596
47,1.946
48,0.000
49,0.000
50,0.000
51,1.294
52,0.060
53,0.041
54,0.031
55,0.042
56,0.140
57,2.033
58,0.978
59,0.356
60,0.000
61,0.000
62,0.107
63,6.224
64,5.235
65,7.171
66,13.092
67,7.142
68,4.745
69,1.947
70,0.040
71,0.000
72,0.000
73,0.000
74,0.000
75,0.000
76,0.319
77,0.015
78,0.015
79,0.015
80,3.179
81,5.751
82,3.428
83,3.285
84,0.453
85,0.098
86,0.000
87,0.050
88,0.000
89,0.000
90,0.000
91,0.000
92,0.000
93,0.000
94,0.181
95,0.128
96,1.908
97,0.000
98,0.314
99,0.000
100,1.885
101,5.022
102,6.902
103,5.409
104,2.507
105,4.071
106,6.027
107,5.045
108,4.688
109,0.625
110,0.000
111,0.000
112,0.000
113,0.000
114,0.000
115,0.000
116,0.000
117,0.311
118,1.000
119,0.402
120,0.000
121,0.186
122,1.643
123,0.000
124,1.857
125,4.165
126,6.303
127,8.536
128,6.814
129,2.238
130,0.742
131,3.081
132,4.206
133,0.512
134,0.926
135,0.390
136,0.961
137,0.527
138,0.345
139,0.749
140,1.189
141,0.163
142,0.306
143,0.917
144,0.500
145,2.112
146,3.614
147,4.616
148,7.792
149,6.839
150,2.202
151,1.508
152,1.988
153,0.706
154,0.326
155,0.000
156,6.180
157,12.060
158,8.606
159,8.874
160,5.902
161,4.209
162,6.396
163,3.647
164,4.207
165,8.635
166,10.840
167,13.265
168,12.711
169,12.520
170,10.084
171,11.009
172,13.468
173,13.632
174,18.202
175,32.838
176,59.802
177,100.830
178,120.094
179,149.023
180,164.965
181,169.104
182,165.227
183,157.512
184,141.546
185,125.845
186,114.535
187,103.326
188,80.489
189,57.842
190,53.456
191,49.701
192,40.332
193,25.407
194,15.560
195,20.159
196,24.258
197,15.697
198,12.886
199,10.809
200,9.192
201,9.821
202,5.789
203,6.706
204,9.078
205,6.162
206,4.839
207,8.384
208,4.373
209,0.000
210,1.212
211,1.122
212,2.871
213,10.216
214,3.494
215,0.667
216,5.500
217,1.209
218,0.545
219,0.460
220,0.000
221,0.000
222,0.291
223,3.195
224,0.333
225,0.420
226,0.681
227,6.536
228,7.737
229,8.586
230,4.885
231,3.178
232,1.443
233,4.975
234,7.460
235,1.621
236,0.863
237,5.516
238,9.771
239,0.575
240,0.000
241,0.000
242,0.000
243,0.573
244,0.573
245,0.000
246,0.521
247,6.141
248,5.998
249,0.000
250,0.000
251,0.000
252,0.000
253,0.000
254,0.049
255,0.000
256,0.000
257,0.864
258,1.113
259,2.418
260,4.966
261,2.831
262,3.465
263,0.304
264,0.305
265,0.565
266,0.000
267,0.000
268,0.564
269,4.385
270,5.208
271,0.823
272,1.948
273,1.509
274,0.053
275,0.000
276,5.605
277,6.734
278,7.239
279,2.613
280,0.000
281,0.559
282,0.442
283,2.231
284,0.388
285,0.055
286,0.000
287,0.000
288,0.000
289,0.445
290,1.501
291,0.168
292,0.225
293,0.000
294,0.000
295,0.560
296,3.049
297,1.886
298,4.416
299,12.032
300,2.449
301,4.014
302,3.508
303,6.750
304,4.397
305,0.549
306,0.823
307,0.000
308,0.000
309,0.535
310,0.060
311,0.000
312,2.973
313,1.092
314,0.546
315,1.394
316,3.338
317,3.159
318,1.068
319,0.061
320,0.272
321,3.569
322,3.797
323,0.994
324,0.916
325,2.562
326,1.624
327,0.541
328,0.667
329,0.000
330,0.000
331,2.696
332,4.709
333,0.539
334,0.064
335,2.958
336,0.537
337,0.000
338,0.195
339,0.391
340,0.922
341,0.066
342,0.000
343,0.000
344,2.404
345,2.136
346,2.867
347,0.067
348,0.134
349,0.067
350,0.798
351,1.595
352,0.000
353,0.272
354,1.212
355,1.068
356,0.000
357,0.529
358,4.920
359,4.309
360,0.264
361,0.000
362,0.000
363,0.279
364,0.000
365,0.000
366,0.000
367,0.000
368,0.071
369,0.000
370,0.000
371,0.262
372,0.000
373,0.144
374,1.216
375,2.227
376,1.491
377,0.000
378,0.000
379,0.000
380,1.041
381,2.633
382,0.000
383,0.000
384,3.851
385,5.741
386,1.629
387,0.298
388,0.000
389,0.000
390,6.791
391,7.119
392,7.460
393,0.000
394,0.000
395,0.228
396,0.076
397,0.076
398,1.586
399,1.178
400,0.000
401,0.000
402,0.077
403,0.488
404,0.000
405,0.078
406,0.000
407,0.000
408,0.078
409,0.236
410,1.018
411,0.000
412,0.000
413,2.364
414,4.971
415,5.080
416,1.013
417,0.000
418,0.000
419,0.000
420,0.000
421,0.000
422,0.000
423,0.163
424,0.667
425,0.503
426,0.503
427,0.000
428,0.000
429,0.083
430,1.333
431,0.083
432,0.000
433,0.000
434,0.251
435,0.000
436,1.832
437,2.333
438,3.989
439,0.000
440,0.000
441,2.667
442,1.327
443,3.070
444,4.077
445,0.581
446,0.000
447,1.484
448,2.333
449,0.000
450,0.000
451,0.000
452,5.957
453,8.754
454,11.055
455,7.000
456,0.579
457,0.000
458,0.000
459,0.000
460,0.000
461,0.000
462,0.000
463,0.000
464,0.000
465,0.179
466,0.269
467,0.243
468,2.450
469,3.985
470,0.543
471,0.909
472,1.455
473,0.000
474,0.000
475,0.000
476,0.242
477,1.816
478,7.655
479,0.482
480,0.369
481,0.000
482,0.722
483,3.497
484,0.279
485,0.000
486,0.000
487,0.479
488,5.268
489,3.298
490,0.667
491,1.761
492,0.284
493,0.000
494,0.953
495,0.571
496,1.903
497,0.000
498,0.000
499,1.424
500,1.186
501,4.422
502,1.203
503,0.290
504,0.721
505,0.000
506,0.000
507,0.000
508,4.649
509,8.648
510,4.511
511,2.928
512,4.144
513,6.629
514,3.568
515,0.234
516,0.000
517,0.000
518,0.000
519,0.000
520,1.400
521,6.662
522,11.192
523,6.686
524,0.000
525,0.000
526,0.000
527,0.000
528,2.057
