Distance_(pixels),Gray_Value
0,0.0000
1,0.0000
2,0.0000
3,0.0000
4,2.2848
5,1.6234
6,0.0000
7,0.3576
8,3.3472
9,2.4425
10,0.2945
11,0.1144
12,0.0000
13,1.0225
14,1.3396
15,0.1040
16,0.4719
17,1.2062
18,0.1247
19,0.0000
20,0.0000
21,0.2969
22,0.6285
23,0.0398
24,1.1670
25,1.9134
26,0.7568
27,0.0000
28,0.0000
29,0.1005
30,2.1345
31,0.1611
32,0.0000
33,0.0000
34,1.4899
35,0.2727
36,0.0000
37,0.0000
38,0.7325
39,3.8063
40,4.3201
41,0.0000
42,2.1033
43,4.3648
44,7.0478
45,6.8305
46,1.8551
47,0.0814
48,0.0000
49,0.0000
50,0.2599
51,0.7069
52,0.3604
53,0.6428
54,0.2807
55,1.2384
56,2.8732
57,3.7408
58,2.8309
59,0.3067
60,0.0000
61,0.0000
62,3.2481
63,4.6725
64,1.2211
65,2.7748
66,1.2093
67,0.0000
68,0.1178
69,0.7173
70,0.1213
71,0.0000
72,0.8323
73,1.5981
74,0.5129
75,0.5198
76,1.3950
77,2.5329
78,2.9279
79,3.0242
80,1.3631
81,0.0000
82,0.9945
83,0.0000
84,0.0000
85,0.0000
86,1.2197
87,0.0000
88,0.0000
89,0.0000
90,0.6452
91,1.4910
92,2.9564
93,1.4723
94,0.0000
95,0.3375
96,2.6673
97,3.6695
98,4.8552
99,3.1618
100,0.9604
101,1.9001
102,4.2529
103,5.8082
104,2.9459
105,0.3028
106,0.9183
107,0.0000
108,0.1462
109,1.2002
110,0.5239
111,0.3846
112,0.8059
113,1.3755
114,1.2224
115,0.9386
116,1.4608
117,1.1756
118,3.4089
119,4.1408
120,0.3333
121,0.0000
122,0.6341
123,0.9727
124,0.3555
125,0.0000
126,0.0000
127,0.0000
128,0.0000
129,0.2197
130,2.9819
131,1.8367
132,2.0583
133,4.1478
134,1.6252
135,0.0000
136,1.2529
137,0.5707
138,9.1519
139,9.1483
140,2.4836
141,1.3333
142,1.3651
143,0.7701
144,0.4192
145,6.3579
146,0.6548
147,0.7641
148,1.3076
149,0.0752
150,0.2599
151,1.5697
152,0.0000
153,1.3254
154,1.6674
155,0.0000
156,0.0000
157,0.6667
158,1.1192
159,0.6226
160,0.7789
161,0.5579
162,0.5614
163,0.0000
164,0.0000
165,1.1910
166,0.0000
167,0.0000
168,0.0000
169,0.0000
170,0.0000
171,0.6667
172,3.5761
173,2.9974
174,2.0000
175,0.8173
176,1.4185
177,0.1866
178,0.0000
179,0.0000
180,0.3763
181,0.5504
182,2.2973
183,0.3659
184,0.0145
185,2.5643
186,5.8008
187,1.9440
188,3.5982
189,1.6373
190,0.0000
191,0.0168
192,2.3333
193,2.0000
194,5.3333
195,5.0045
196,4.9687
197,2.3333
198,2.6764
199,0.9656
200,0.0000
201,0.0895
202,5.8501
203,2.6851
204,9.3448
205,6.5137
206,1.9764
207,1.8734
208,0.4956
209,1.4485
210,0.9085
211,6.5808
212,11.5858
213,8.0596
214,7.2511
215,2.1959
216,3.6197
217,6.6240
218,8.4004
219,5.5283
220,3.7639
221,3.7077
222,7.6930
223,10.2121
224,11.7809
225,11.1073
226,10.6506
227,10.2134
228,15.7035
229,18.0485
230,13.1453
231,16.9343
232,26.6079
233,29.8962
234,38.9551
235,43.1835
236,48.6179
237,58.5411
238,61.7802
239,65.4141
240,69.1684
241,66.8387
242,72.1279
243,69.9820
244,51.4387
245,40.4272
246,41.0711
247,29.6710
248,19.6823
249,19.7264
250,18.1621
251,14.9736
252,12.3662
253,14.1782
254,17.1329
255,19.2406
256,16.6613
257,13.4503
258,15.5530
259,28.5648
260,40.0095
261,43.8811
262,51.6667
263,57.8989
264,57.7278
265,61.5215
266,56.1652
267,46.0609
268,41.7977
269,39.5958
270,28.8769
271,22.6989
272,20.8161
273,22.1973
274,14.1618
275,7.4803
276,3.9268
277,3.2129
278,3.8517
279,2.9496
280,2.0000
281,2.9959
282,3.1553
283,4.1957
284,3.4921
285,3.0248
286,1.0269
287,0.0000
288,0.8283
289,2.1674
290,1.9951
291,1.1541
292,2.6785
293,3.5230
294,1.3333
295,0.0000
296,0.3590
297,0.0000
298,0.0000
299,0.3694
300,1.3051
301,1.5054
302,0.4768
303,0.1916
304,0.1400
305,0.0000
306,0.1365
307,1.3972
308,1.9327
309,1.5252
310,1.0000
311,1.4385
312,1.0362
313,0.1244
314,0.7358
315,0.7254
316,0.3575
317,0.0000
318,0.0000
319,0.6581
320,1.4388
321,0.0000
322,0.0000
323,0.4281
324,0.7371
325,1.2071
326,2.1297
327,0.4665
328,0.0000
329,0.0000
330,2.8611
331,2.8675
332,4.2419
333,4.7054
334,4.2454
335,3.0862
336,3.3333
337,3.3333
338,1.3961
339,1.5552
340,1.3563
341,0.2575
342,0.8890
343,1.3181
344,0.6159
345,0.0000
346,0.0000
347,0.0000
348,0.0000
349,0.1240
350,1.7551
351,0.0000
352,0.8296
353,0.2202
354,0.4266
355,0.3612
356,0.9473
357,1.3405
358,5.0928
359,5.5120
360,3.4722
361,0.2921
362,0.2939
363,0.0377
364,0.2973
365,0.0000
366,0.0000
367,3.4819
368,3.1298
369,5.5573
370,3.1797
371,0.2387
372,0.3764
373,2.5850
374,2.2586
375,3.2486
376,5.5298
377,3.1752
378,4.4155
379,1.2933
380,1.0000
381,0.3857
382,0.3285
383,0.6636
384,2.3347
385,3.3310
386,1.9873
387,1.3256
388,1.3892
389,1.9707
390,2.2700
391,2.6343
392,2.0626
393,0.0570
394,0.7625
395,1.7198
396,2.7056
397,1.9576
398,0.0000
399,0.0000
400,2.3861
401,3.8314
402,2.3035
403,0.8877
404,0.4332
405,0.5966
406,0.0000
407,0.0000
408,0.3333
409,2.2074
410,0.9289
411,1.4543
412,3.8993
413,5.6667
414,2.5443
415,1.6858
416,2.0629
417,1.8883
418,2.6091
419,2.6442
420,0.8169
421,0.8117
422,1.3442
423,0.2671
424,0.0000
425,0.0697
426,0.0000
427,0.0000
428,0.0000
429,0.0000
430,0.0784
431,0.0801
432,1.8424
433,3.1645
434,2.2481
435,0.4351
436,0.0000
437,0.2714
438,1.6100
439,0.2394
440,3.0895
441,1.5693
442,0.0991
443,0.0000
444,0.2307
445,0.0000
446,0.0000
447,1.5489
448,1.4476
449,1.1108
450,1.1187
451,0.5519
452,0.6667
453,1.8605
454,0.2134
455,0.8467
456,0.6170
457,0.0000
458,0.0000
459,0.0000
460,0.0000
461,0.4654
462,0.2676
463,0.9267
464,0.3921
465,2.1943
466,3.3333
467,3.7607
468,5.2434
469,3.2289
470,0.0000
471,0.0000
472,0.0000
473,0.0000
474,0.0000
475,0.0000
476,0.4742
477,0.0000
478,0.0000
479,0.0000
480,1.8249
481,4.0004
482,2.8351
483,3.0000
484,3.8491
485,2.6806
486,3.9129
487,10.9265
488,5.8699
489,6.6115
490,0.9115
491,0.1840
492,0.1858
493,1.5833
494,0.6215
495,0.0000
496,0.0000
497,1.1111
498,1.0000
499,0.1354
500,0.4011
501,0.8612
502,0.6093
503,0.0000
504,0.1268
505,1.0418
506,1.6667
507,0.5451
508,1.2810
509,0.6457
510,1.4181
511,1.6561
512,0.7796
513,0.1112
514,0.0000
515,0.0000
516,0.1060
517,0.0000
518,0.0000
519,0.0000
520,0.1981
521,0.9441
522,0.4755
523,2.7282
524,1.3685
525,4.0564
526,5.1986
527,4.1595
528,2.0704
529,5.6652
530,7.0946
531,6.6533
532,5.0579
533,4.2075
534,3.3611
535,1.9680
536,0.3566
537,0.0000
538,1.3274
539,3.0715
540,0.0000
541,0.0000
542,0.0000
543,3.5701
544,3.4597
545,4.7760
546,1.7840
547,0.2091
548,0.1011
549,0.5691
550,0.0000
551,0.0000
552,0.0000
553,0.3752
554,1.2932
555,1.3717
556,1.7033
557,2.1048
558,3.4662
559,4.1388
560,2.2379
561,0.0000
562,0.0000
563,0.0000
564,0.3105
565,1.6456
566,0.0000
567,0.0000
568,0.3175
569,0.0000
570,0.6418
571,2.3120
572,1.7204
573,2.3622
574,3.9890
575,3.3296
576,3.6505
577,0.0000
578,0.0000
579,1.6667
580,5.3186
581,7.6335
582,6.9749
583,5.9495
584,7.0355
585,4.8024
586,2.4405
587,2.4015
588,3.0000
589,2.9385
590,4.0000
591,5.5708
592,5.2562
593,2.4979
594,1.8708
595,3.0000
596,3.9347
597,4.5979
598,5.8471
599,4.3026
600,4.1978
601,6.2065
602,5.6345
603,4.0448
604,7.3412
605,8.9475
606,8.8501
607,10.1551
608,13.4808
609,11.6115
610,9.7725
611,9.7655
612,10.2730
613,11.5588
614,10.8934
615,11.5955
616,15.8624
617,18.9075
618,19.3633
619,19.8260
620,20.2616
621,22.1350
622,22.9351
623,25.7461
624,34.2172
625,41.0829
626,47.5668
627,60.8535
628,71.2073
629,79.0639
630,83.8497
631,84.0397
632,85.0000
633,83.4301
634,78.0379
635,67.5665
636,51.4628
637,42.1850
638,32.3531
639,20.2501
640,17.9933
641,16.4362
642,11.4530
643,7.8859
644,3.5649
645,4.4316
646,6.2355
647,5.4567
648,3.3864
649,1.8355
650,2.9548
651,4.0504
652,3.2409
